expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,rate,rate.95ci,cld,cld2,loewe
HTS015,2017-06-02,PC9c1-D6a,93974.0,L08,PC9c1-D6a_L08,PC9c1,abexinostat,0.0,M,osimertinib,2e-09,M,0.01794,0.00105,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M02,PC9c1-D6a_M02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-08,M,0.00914,0.00141,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M03,PC9c1-D6a_M03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-08,M,-0.06932,0.018369999999999997,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M04,PC9c1-D6a_M04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-08,M,0.00421,0.00067,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M05,PC9c1-D6a_M05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-08,M,0.00914,0.00095,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M06,PC9c1-D6a_M06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-08,M,0.01036,0.00143,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M07,PC9c1-D6a_M07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-08,M,0.01379,0.0015,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,M08,PC9c1-D6a_M08,PC9c1,abexinostat,0.0,M,osimertinib,2e-08,M,0.007240000000000001,0.00116,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N02,PC9c1-D6a_N02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-07,M,0.00435,0.0017399999999999998,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N03,PC9c1-D6a_N03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-07,M,-0.058210000000000005,0.0088,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N04,PC9c1-D6a_N04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-07,M,0.0069,0.00213,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N05,PC9c1-D6a_N05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-07,M,0.00251,0.00139,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N06,PC9c1-D6a_N06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-07,M,0.00594,0.0009400000000000001,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N07,PC9c1-D6a_N07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-07,M,0.01211,0.0017399999999999998,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D6a,93974.0,N08,PC9c1-D6a_N08,PC9c1,abexinostat,0.0,M,osimertinib,2e-07,M,0.00644,0.00134,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K02,PC9c1-D6b_K02,PC9c1,abexinostat,3.06e-07,M,osimertinib,0.0,M,0.01924,0.00065,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K03,PC9c1-D6b_K03,PC9c1,abexinostat,9.28e-08,M,osimertinib,0.0,M,0.04087,0.0019,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K04,PC9c1-D6b_K04,PC9c1,abexinostat,2.81e-08,M,osimertinib,0.0,M,0.03823,0.00264,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K05,PC9c1-D6b_K05,PC9c1,abexinostat,8.5e-09,M,osimertinib,0.0,M,0.04024,0.00112,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K06,PC9c1-D6b_K06,PC9c1,abexinostat,2.6e-09,M,osimertinib,0.0,M,0.03949,0.00151,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K07,PC9c1-D6b_K07,PC9c1,abexinostat,8e-10,M,osimertinib,0.0,M,0.039,0.0015400000000000001,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,K08,PC9c1-D6b_K08,PC9c1,abexinostat,0.0,M,osimertinib,0.0,M,0.03754,0.0013599999999999999,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-03,PC9c1-D6b,94005.0,L02,PC9c1-D6b_L02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-09,M,0.0234,0.00275,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.7467673062102229
HTS015,2017-06-03,PC9c1-D6b,94005.0,L03,PC9c1-D6b_L03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-09,M,0.025509999999999998,0.00109,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.27218305313765834
HTS015,2017-06-03,PC9c1-D6b,94005.0,L04,PC9c1-D6b_L04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-09,M,0.02475,0.0009,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.11021300553058082
HTS015,2017-06-03,PC9c1-D6b,94005.0,L05,PC9c1-D6b_L05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-09,M,0.02635,0.00266,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.06691800319889571
HTS015,2017-06-03,PC9c1-D6b,94005.0,L06,PC9c1-D6b_L06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-09,M,0.02126,0.0012699999999999999,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.040910304615619064
HTS015,2017-06-03,PC9c1-D6b,94005.0,L07,PC9c1-D6b_L07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-09,M,0.01935,0.00103,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.032860099191344756
HTS015,2017-06-03,PC9c1-D6b,94005.0,L08,PC9c1-D6b_L08,PC9c1,abexinostat,0.0,M,osimertinib,2e-09,M,0.01787,0.00114,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M02,PC9c1-D6b_M02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-08,M,0.006529999999999999,0.00252,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M03,PC9c1-D6b_M03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-08,M,-0.09608,0.0253,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M04,PC9c1-D6b_M04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-08,M,0.008790000000000001,0.0016600000000000002,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M05,PC9c1-D6b_M05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-08,M,0.00962,0.00201,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M06,PC9c1-D6b_M06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-08,M,0.00948,0.0007099999999999999,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M07,PC9c1-D6b_M07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-08,M,0.00984,0.00124,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,M08,PC9c1-D6b_M08,PC9c1,abexinostat,0.0,M,osimertinib,2e-08,M,0.00916,0.00134,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-08,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N02,PC9c1-D6b_N02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-07,M,0.0030600000000000002,0.00395,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N03,PC9c1-D6b_N03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-07,M,-0.06087000000000001,0.00916,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N04,PC9c1-D6b_N04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-07,M,0.0050799999999999994,0.00119,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N05,PC9c1-D6b_N05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-07,M,0.0038200000000000005,0.0014,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N06,PC9c1-D6b_N06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-07,M,0.00701,0.0015,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N07,PC9c1-D6b_N07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-07,M,0.00896,0.00161,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-03,PC9c1-D6b,94005.0,N08,PC9c1-D6b_N08,PC9c1,abexinostat,0.0,M,osimertinib,2e-07,M,0.007409999999999999,0.0012699999999999999,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K09,PC9c1-D2a_K09,PC9c1,acetylcysteine,1e-05,M,osimertinib,0.0,M,0.008409999999999999,0.00361,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K10,PC9c1-D2a_K10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,0.0,M,0.027710000000000002,0.00419,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K11,PC9c1-D2a_K11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,0.0,M,0.03567,0.0011,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K12,PC9c1-D2a_K12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,0.0,M,0.038439999999999995,0.0011300000000000001,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K13,PC9c1-D2a_K13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,0.0,M,0.03705,0.0009,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K14,PC9c1-D2a_K14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,0.0,M,0.03669,0.00067,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,K15,PC9c1-D2a_K15,PC9c1,acetylcysteine,0.0,M,osimertinib,0.0,M,0.04187,0.00093,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2a,93966.0,L09,PC9c1-D2a_L09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-09,M,0.01425,0.00232,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2a,93966.0,L10,PC9c1-D2a_L10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-09,M,0.013619999999999998,0.00231,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2a,93966.0,L11,PC9c1-D2a_L11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-09,M,0.02362,0.00175,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,0.05864145599241051
HTS015,2017-06-02,PC9c1-D2a,93966.0,L12,PC9c1-D2a_L12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-09,M,0.02056,0.00114,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2a,93966.0,L13,PC9c1-D2a_L13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-09,M,0.02,0.00134,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2a,93966.0,L14,PC9c1-D2a_L14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-09,M,0.0213,0.0015199999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,0.04130021208108898
HTS015,2017-06-02,PC9c1-D2a,93966.0,L15,PC9c1-D2a_L15,PC9c1,acetylcysteine,0.0,M,osimertinib,2e-09,M,0.020059999999999998,0.00081,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M09,PC9c1-D2a_M09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-08,M,0.01063,0.00282,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M10,PC9c1-D2a_M10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-08,M,0.01143,0.003,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M11,PC9c1-D2a_M11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-08,M,0.00788,0.00146,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M12,PC9c1-D2a_M12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-08,M,0.0048200000000000005,0.00148,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M13,PC9c1-D2a_M13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-08,M,0.0063,0.00137,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M14,PC9c1-D2a_M14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-08,M,0.00573,0.0007099999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,M15,PC9c1-D2a_M15,PC9c1,acetylcysteine,0.0,M,osimertinib,2e-08,M,0.00784,0.0016699999999999998,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N09,PC9c1-D2a_N09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-07,M,0.01068,0.00215,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N10,PC9c1-D2a_N10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-07,M,-0.011170000000000001,0.010790000000000001,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N11,PC9c1-D2a_N11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-07,M,0.00557,0.0011300000000000001,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N12,PC9c1-D2a_N12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-07,M,0.00938,0.00292,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N13,PC9c1-D2a_N13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-07,M,0.0069099999999999995,0.00065,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N14,PC9c1-D2a_N14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-07,M,0.009590000000000001,0.0028899999999999998,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2a,93966.0,N15,PC9c1-D2a_N15,PC9c1,acetylcysteine,0.0,M,osimertinib,2e-07,M,0.01157,0.00198,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K09,PC9c1-D2b_K09,PC9c1,acetylcysteine,1e-05,M,osimertinib,0.0,M,0.03059,0.00243,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K10,PC9c1-D2b_K10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,0.0,M,0.027639999999999998,0.00513,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K11,PC9c1-D2b_K11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,0.0,M,0.0378,0.00149,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K12,PC9c1-D2b_K12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,0.0,M,0.037219999999999996,0.00067,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K13,PC9c1-D2b_K13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,0.0,M,0.03744,0.0010199999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K14,PC9c1-D2b_K14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,0.0,M,0.03791,0.0009199999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,K15,PC9c1-D2b_K15,PC9c1,acetylcysteine,0.0,M,osimertinib,0.0,M,0.0379,0.0013,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_0,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L09,PC9c1-D2b_L09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-09,M,0.015369999999999998,0.0025399999999999997,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L10,PC9c1-D2b_L10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-09,M,0.010020000000000001,0.00131,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L11,PC9c1-D2b_L11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-09,M,0.01872,0.0013,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L12,PC9c1-D2b_L12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-09,M,0.020380000000000002,0.0009199999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L13,PC9c1-D2b_L13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-09,M,0.01738,0.00125,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L14,PC9c1-D2b_L14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-09,M,0.01855,0.00114,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,L15,PC9c1-D2b_L15,PC9c1,acetylcysteine,0.0,M,osimertinib,2e-09,M,0.02164,0.0017100000000000001,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-09,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M09,PC9c1-D2b_M09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-08,M,0.0019,0.00091,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M10,PC9c1-D2b_M10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-08,M,0.007659999999999999,0.00324,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M11,PC9c1-D2b_M11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-08,M,0.0049,0.00055,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M12,PC9c1-D2b_M12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-08,M,0.007390000000000001,0.00109,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M13,PC9c1-D2b_M13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-08,M,0.00824,0.0009199999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M14,PC9c1-D2b_M14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-08,M,0.00629,0.00155,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,M15,PC9c1-D2b_M15,PC9c1,acetylcysteine,0.0,M,osimertinib,2e-08,M,0.00677,0.00132,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-08,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N09,PC9c1-D2b_N09,PC9c1,acetylcysteine,1e-05,M,osimertinib,2e-07,M,0.00817,0.00355,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N10,PC9c1-D2b_N10,PC9c1,acetylcysteine,3.1e-06,M,osimertinib,2e-07,M,-0.00685,0.00778,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N11,PC9c1-D2b_N11,PC9c1,acetylcysteine,1.11e-06,M,osimertinib,2e-07,M,0.00542,0.00053,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N12,PC9c1-D2b_N12,PC9c1,acetylcysteine,3.7e-07,M,osimertinib,2e-07,M,0.0055,0.00185,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N13,PC9c1-D2b_N13,PC9c1,acetylcysteine,1.23e-07,M,osimertinib,2e-07,M,0.00673,0.0007099999999999999,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
HTS015,2017-06-02,PC9c1-D2b,93967.0,N14,PC9c1-D2b_N14,PC9c1,acetylcysteine,4.1100000000000004e-08,M,osimertinib,2e-07,M,0.007509999999999999,0.00119,PC9c1_Acetylcysteine,PC9c1_Acetylcysteine_2e-07,
