,Unnamed: 0,index,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,per_via,per_via_std
23600,23600,24760,HTS022,2017-10-28,2058-R1,97976,B17,2058-R1_B17,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,3.1e-09,M,98,1,2017-10-27 14:43:04,98,0.44706394055,0.0408552681626
23620,23620,24780,HTS022,2017-10-28,2058-R1,97976,B18,2058-R1_B18,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,7.8e-10,M,88,0,2017-10-27 14:43:04,88,0.49131887688,0.0448995381815
23640,23640,24800,HTS022,2017-10-28,2058-R1,97976,B19,2058-R1_B19,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,2e-10,M,74,0,2017-10-27 14:43:04,74,0.542256741728,0.0495545325554
23660,23660,24820,HTS022,2017-10-28,2058-R1,97976,B20,2058-R1_B20,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,4.9e-11,M,73,0,2017-10-27 14:43:04,73,0.506323819652,0.0462707759511
23680,23680,24840,HTS022,2017-10-28,2058-R1,97976,B21,2058-R1_B21,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,1.2e-11,M,88,0,2017-10-27 14:43:04,88,0.591276762507,0.0540342633334
23700,23700,24860,HTS022,2017-10-28,2058-R1,97976,B22,2058-R1_B22,A2058,0.7,dabrafenib,4e-07,M,control,0.0,M,65,0,2017-10-27 14:43:04,65,0.512917604156,0.0468733538146
23720,23720,24880,HTS022,2017-10-28,2058-R1,97976,B23,2058-R1_B23,A2058,0.7,control,0.0,M,control,0.0,M,74,1,2017-10-27 14:43:04,74,0.824146884873,0.0753152713357
23740,23740,24900,HTS022,2017-10-28,2058-R1,97976,C02,2058-R1_C02,A2058,0.7,control,0.0,M,control,0.0,M,79,0,2017-10-27 14:43:04,79,0.820449305458,0.0749773653118
23760,23760,24920,HTS022,2017-10-28,2058-R1,97976,C03,2058-R1_C03,A2058,0.7,dabrafenib,1e-07,M,selumetinib,4e-06,M,115,2,2017-10-27 14:43:04,115,0.441297725958,0.0403283183864
23780,23780,24940,HTS022,2017-10-28,2058-R1,97976,C04,2058-R1_C04,A2058,0.7,dabrafenib,1e-07,M,selumetinib,1e-06,M,95,0,2017-10-27 14:43:04,95,0.552192980058,0.0504625630286
23800,23800,24960,HTS022,2017-10-28,2058-R1,97976,C05,2058-R1_C05,A2058,0.7,dabrafenib,1e-07,M,selumetinib,2.5e-07,M,122,0,2017-10-27 14:43:04,122,0.626672934784,0.0572689686611
23820,23820,24980,HTS022,2017-10-28,2058-R1,97976,C06,2058-R1_C06,A2058,0.7,dabrafenib,1e-07,M,selumetinib,6.3e-08,M,106,0,2017-10-27 14:43:04,106,0.694473172722,0.063464943445
23840,23840,25000,HTS022,2017-10-28,2058-R1,97976,C07,2058-R1_C07,A2058,0.7,dabrafenib,1e-07,M,selumetinib,1.6e-08,M,105,0,2017-10-27 14:43:04,105,0.578418670222,0.05285921708
23860,23860,25020,HTS022,2017-10-28,2058-R1,97976,C08,2058-R1_C08,A2058,0.7,dabrafenib,1e-07,M,selumetinib,3.9e-09,M,91,2,2017-10-27 14:43:04,91,0.662100388055,0.0605065326255
23880,23880,25040,HTS022,2017-10-28,2058-R1,97976,C09,2058-R1_C09,A2058,0.7,dabrafenib,1e-07,M,selumetinib,9.8e-10,M,99,2,2017-10-27 14:43:04,99,0.561144601933,0.0512806136004
23900,23900,25060,HTS022,2017-10-28,2058-R1,97976,C10,2058-R1_C10,A2058,0.7,dabrafenib,1e-07,M,selumetinib,2.4e-10,M,86,0,2017-10-27 14:43:04,86,0.673893911274,0.0615842924491
23920,23920,25080,HTS022,2017-10-28,2058-R1,97976,C11,2058-R1_C11,A2058,0.7,dabrafenib,1e-07,M,selumetinib,6.1e-11,M,77,0,2017-10-27 14:43:04,77,0.641516432115,0.0586254526199
23940,23940,25100,HTS022,2017-10-28,2058-R1,97976,C12,2058-R1_C12,A2058,0.7,dabrafenib,1e-07,M,control,0.0,M,65,0,2017-10-27 14:43:04,65,0.705757844459,0.0644962015003
23960,23960,25120,HTS022,2017-10-28,2058-R1,97976,C13,2058-R1_C13,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,8e-07,M,70,0,2017-10-27 14:43:04,70,0.517126458063,0.0472579830352
23980,23980,25140,HTS022,2017-10-28,2058-R1,97976,C14,2058-R1_C14,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,2e-07,M,58,0,2017-10-27 14:43:04,58,0.661476378039,0.0604495070097
24000,24000,25160,HTS022,2017-10-28,2058-R1,97976,C15,2058-R1_C15,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,5e-08,M,152,8,2017-10-27 14:43:04,152,0.498710397058,0.0455750177083
24020,24020,25180,HTS022,2017-10-28,2058-R1,97976,C16,2058-R1_C16,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,1.2e-08,M,77,0,2017-10-27 14:43:04,77,0.564236872373,0.0515632030167
24040,24040,25200,HTS022,2017-10-28,2058-R1,97976,C17,2058-R1_C17,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,3.1e-09,M,91,0,2017-10-27 14:43:04,91,0.731720042004,0.0668687760844
24060,24060,25220,HTS022,2017-10-28,2058-R1,97976,C18,2058-R1_C18,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,7.8e-10,M,90,0,2017-10-27 14:43:04,90,0.732773701988,0.0669650655797
24080,24080,25240,HTS022,2017-10-28,2058-R1,97976,C19,2058-R1_C19,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,2e-10,M,61,1,2017-10-27 14:43:04,61,0.772061237465,0.0705553860055
24100,24100,25260,HTS022,2017-10-28,2058-R1,97976,C20,2058-R1_C20,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,4.9e-11,M,101,0,2017-10-27 14:43:04,101,0.809429871838,0.0739703462375
24120,24120,25280,HTS022,2017-10-28,2058-R1,97976,C21,2058-R1_C21,A2058,0.7,dabrafenib,1e-07,M,cobimetinib,1.2e-11,M,78,0,2017-10-27 14:43:04,78,0.873967889344,0.0798682005996
24140,24140,25300,HTS022,2017-10-28,2058-R1,97976,C22,2058-R1_C22,A2058,0.7,dabrafenib,1e-07,M,control,0.0,M,133,9,2017-10-27 14:43:04,133,0.566171386983,0.0517399900622
24160,24160,25320,HTS022,2017-10-28,2058-R1,97976,C23,2058-R1_C23,A2058,0.7,control,0.0,M,control,0.0,M,111,0,2017-10-27 14:43:04,111,1.00262970225,0.0916260553312
24180,24180,25340,HTS022,2017-10-28,2058-R1,97976,D02,2058-R1_D02,A2058,0.7,control,0.0,M,control,0.0,M,103,0,2017-10-27 14:43:04,103,0.878291930679,0.0802633563084
24200,24200,25360,HTS022,2017-10-28,2058-R1,97976,D03,2058-R1_D03,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,4e-06,M,114,0,2017-10-27 14:43:04,114,0.564516595298,0.0515887657027
24220,24220,25380,HTS022,2017-10-28,2058-R1,97976,D04,2058-R1_D04,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,1e-06,M,89,0,2017-10-27 14:43:04,89,0.614827311823,0.0561864476641
24240,24240,25400,HTS022,2017-10-28,2058-R1,97976,D05,2058-R1_D05,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,2.5e-07,M,86,0,2017-10-27 14:43:04,86,0.648596648521,0.0592724834217
24260,24260,25420,HTS022,2017-10-28,2058-R1,97976,D06,2058-R1_D06,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,6.3e-08,M,111,0,2017-10-27 14:43:04,111,0.672469976734,0.0614541651403
24280,24280,25440,HTS022,2017-10-28,2058-R1,97976,D07,2058-R1_D07,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,1.6e-08,M,99,0,2017-10-27 14:43:04,99,0.664547834853,0.0607301943575
24300,24300,25460,HTS022,2017-10-28,2058-R1,97976,D08,2058-R1_D08,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,3.9e-09,M,76,0,2017-10-27 14:43:04,76,0.844950197566,0.0772163974199
24320,24320,25480,HTS022,2017-10-28,2058-R1,97976,D09,2058-R1_D09,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,9.8e-10,M,69,0,2017-10-27 14:43:04,69,0.679313505005,0.0620795660221
24340,24340,25500,HTS022,2017-10-28,2058-R1,97976,D10,2058-R1_D10,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,2.4e-10,M,82,0,2017-10-27 14:43:04,82,0.695834503899,0.0635893496993
24360,24360,25520,HTS022,2017-10-28,2058-R1,97976,D11,2058-R1_D11,A2058,0.7,dabrafenib,2.5e-08,M,selumetinib,6.1e-11,M,99,0,2017-10-27 14:43:04,99,0.638683832317,0.0583665933968
24380,24380,25540,HTS022,2017-10-28,2058-R1,97976,D12,2058-R1_D12,A2058,0.7,dabrafenib,2.5e-08,M,control,0.0,M,94,0,2017-10-27 14:43:04,94,0.849594639174,0.0776408331442
24400,24400,25560,HTS022,2017-10-28,2058-R1,97976,D13,2058-R1_D13,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,8e-07,M,69,0,2017-10-27 14:43:04,69,0.63458479765,0.0579920000885
24420,24420,25580,HTS022,2017-10-28,2058-R1,97976,D14,2058-R1_D14,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,2e-07,M,104,0,2017-10-27 14:43:04,104,0.570828157914,0.0521655525106
24440,24440,25600,HTS022,2017-10-28,2058-R1,97976,D15,2058-R1_D15,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,5e-08,M,75,0,2017-10-27 14:43:04,75,0.654581888998,0.0598194490402
24460,24460,25620,HTS022,2017-10-28,2058-R1,97976,D16,2058-R1_D16,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,1.2e-08,M,68,0,2017-10-27 14:43:04,68,0.683411783311,0.0624540902099
24480,24480,25640,HTS022,2017-10-28,2058-R1,97976,D17,2058-R1_D17,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,3.1e-09,M,44,0,2017-10-27 14:43:04,44,0.899699786608,0.0822197290225
24500,24500,25660,HTS022,2017-10-28,2058-R1,97976,D18,2058-R1_D18,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,7.8e-10,M,64,0,2017-10-27 14:43:04,64,0.724925514834,0.0662478532043
24520,24520,25680,HTS022,2017-10-28,2058-R1,97976,D19,2058-R1_D19,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,2e-10,M,67,0,2017-10-27 14:43:04,67,0.808184946735,0.0738565778382
24540,24540,25700,HTS022,2017-10-28,2058-R1,97976,D20,2058-R1_D20,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,4.9e-11,M,59,0,2017-10-27 14:43:04,59,0.564851462021,0.0516193677453
24560,24560,25720,HTS022,2017-10-28,2058-R1,97976,D21,2058-R1_D21,A2058,0.7,dabrafenib,2.5e-08,M,cobimetinib,1.2e-11,M,76,0,2017-10-27 14:43:04,76,0.695415848447,0.0635510905619
24580,24580,25740,HTS022,2017-10-28,2058-R1,97976,D22,2058-R1_D22,A2058,0.7,dabrafenib,2.5e-08,M,control,0.0,M,116,0,2017-10-27 14:43:04,116,0.742531563139,0.0678567949228
24600,24600,25760,HTS022,2017-10-28,2058-R1,97976,D23,2058-R1_D23,A2058,0.7,control,0.0,M,control,0.0,M,66,0,2017-10-27 14:43:04,66,1.10283495601,0.100783386402
24620,24620,25780,HTS022,2017-10-28,2058-R1,97976,E02,2058-R1_E02,A2058,0.7,control,0.0,M,control,0.0,M,117,1,2017-10-27 14:43:04,117,1.02742756891,0.0938922266776
24640,24640,25800,HTS022,2017-10-28,2058-R1,97976,E03,2058-R1_E03,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,4e-06,M,85,4,2017-10-27 14:43:04,85,0.420057017072,0.0383872205282
24660,24660,25820,HTS022,2017-10-28,2058-R1,97976,E04,2058-R1_E04,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,1e-06,M,80,0,2017-10-27 14:43:04,80,0.547324472166,0.0500176508416
24680,24680,25840,HTS022,2017-10-28,2058-R1,97976,E05,2058-R1_E05,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,2.5e-07,M,107,0,2017-10-27 14:43:04,107,0.542514079965,0.0495780496001
24700,24700,25860,HTS022,2017-10-28,2058-R1,97976,E06,2058-R1_E06,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,6.3e-08,M,119,0,2017-10-27 14:43:04,119,0.542785310992,0.0496028362476
24720,24720,25880,HTS022,2017-10-28,2058-R1,97976,E07,2058-R1_E07,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,1.6e-08,M,89,1,2017-10-27 14:43:04,89,0.66374270198,0.0606566166956
24740,24740,25900,HTS022,2017-10-28,2058-R1,97976,E08,2058-R1_E08,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,3.9e-09,M,81,0,2017-10-27 14:43:04,81,0.794010695987,0.0725612534723
24760,24760,25920,HTS022,2017-10-28,2058-R1,97976,E09,2058-R1_E09,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,9.8e-10,M,79,0,2017-10-27 14:43:04,79,0.743133523659,0.0679118055292
24780,24780,25940,HTS022,2017-10-28,2058-R1,97976,E10,2058-R1_E10,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,2.4e-10,M,84,0,2017-10-27 14:43:04,84,0.766021998876,0.0700034857297
24800,24800,25960,HTS022,2017-10-28,2058-R1,97976,E11,2058-R1_E11,A2058,0.7,dabrafenib,6.2e-09,M,selumetinib,6.1e-11,M,85,0,2017-10-27 14:43:04,85,0.56385064397,0.0515279072491
24820,24820,25980,HTS022,2017-10-28,2058-R1,97976,E12,2058-R1_E12,A2058,0.7,dabrafenib,6.2e-09,M,control,0.0,M,102,0,2017-10-27 14:43:04,102,0.539683978349,0.0493194186751
24840,24840,26000,HTS022,2017-10-28,2058-R1,97976,E13,2058-R1_E13,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,8e-07,M,85,0,2017-10-27 14:43:04,85,0.572471969901,0.0523157734822
24860,24860,26020,HTS022,2017-10-28,2058-R1,97976,E14,2058-R1_E14,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,2e-07,M,92,0,2017-10-27 14:43:04,92,0.676566206028,0.0618285020775
24880,24880,26040,HTS022,2017-10-28,2058-R1,97976,E15,2058-R1_E15,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,5e-08,M,88,0,2017-10-27 14:43:04,88,0.612473281563,0.0559713228715
24900,24900,26060,HTS022,2017-10-28,2058-R1,97976,E16,2058-R1_E16,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,1.2e-08,M,116,0,2017-10-27 14:43:04,116,0.704248626822,0.0643582805327
24920,24920,26080,HTS022,2017-10-28,2058-R1,97976,E17,2058-R1_E17,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,3.1e-09,M,102,0,2017-10-27 14:43:04,102,0.63328120095,0.0578728699419
24940,24940,26100,HTS022,2017-10-28,2058-R1,97976,E18,2058-R1_E18,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,7.8e-10,M,86,0,2017-10-27 14:43:04,86,0.618586204837,0.0565299568765
24960,24960,26120,HTS022,2017-10-28,2058-R1,97976,E19,2058-R1_E19,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,2e-10,M,96,0,2017-10-27 14:43:04,96,0.791201724934,0.0723045535794
24980,24980,26140,HTS022,2017-10-28,2058-R1,97976,E20,2058-R1_E20,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,4.9e-11,M,102,0,2017-10-27 14:43:04,102,0.743028128226,0.0679021738897
25000,25000,26160,HTS022,2017-10-28,2058-R1,97976,E21,2058-R1_E21,A2058,0.7,dabrafenib,6.2e-09,M,cobimetinib,1.2e-11,M,79,0,2017-10-27 14:43:04,79,0.718581191708,0.065668072553
25020,25020,26180,HTS022,2017-10-28,2058-R1,97976,E22,2058-R1_E22,A2058,0.7,dabrafenib,6.2e-09,M,control,0.0,M,97,0,2017-10-27 14:43:04,97,0.752939048298,0.0688078906352
25040,25040,26200,HTS022,2017-10-28,2058-R1,97976,E23,2058-R1_E23,A2058,0.7,control,0.0,M,control,0.0,M,98,0,2017-10-27 14:43:04,98,0.945855184263,0.0864376741022
25060,25060,26220,HTS022,2017-10-28,2058-R1,97976,F02,2058-R1_F02,A2058,0.7,control,0.0,M,control,0.0,M,55,0,2017-10-27 14:43:04,55,1.04061687877,0.0950975414939
25080,25080,26240,HTS022,2017-10-28,2058-R1,97976,F03,2058-R1_F03,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,4e-06,M,102,0,2017-10-27 14:43:04,102,0.597211440335,0.0545766082468
25100,25100,26260,HTS022,2017-10-28,2058-R1,97976,F04,2058-R1_F04,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,1e-06,M,95,0,2017-10-27 14:43:04,95,0.64066026681,0.0585472113216
25120,25120,26280,HTS022,2017-10-28,2058-R1,97976,F05,2058-R1_F05,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,2.5e-07,M,77,0,2017-10-27 14:43:04,77,0.534594355973,0.0488542997779
25140,25140,26300,HTS022,2017-10-28,2058-R1,97976,F06,2058-R1_F06,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,6.3e-08,M,97,0,2017-10-27 14:43:04,97,0.763810732792,0.0698014075466
25160,25160,26320,HTS022,2017-10-28,2058-R1,97976,F07,2058-R1_F07,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,1.6e-08,M,86,0,2017-10-27 14:43:04,86,0.76233795434,0.0696668166008
25180,25180,26340,HTS022,2017-10-28,2058-R1,97976,F08,2058-R1_F08,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,3.9e-09,M,111,0,2017-10-27 14:43:04,111,0.74998166786,0.0685376282412
25200,25200,26360,HTS022,2017-10-28,2058-R1,97976,F09,2058-R1_F09,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,9.8e-10,M,81,0,2017-10-27 14:43:04,81,0.706849819776,0.0645959924706
25220,25220,26380,HTS022,2017-10-28,2058-R1,97976,F10,2058-R1_F10,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,2.4e-10,M,106,0,2017-10-27 14:43:04,106,0.725467985098,0.0662974272497
25240,25240,26400,HTS022,2017-10-28,2058-R1,97976,F11,2058-R1_F11,A2058,0.7,dabrafenib,1.6e-09,M,selumetinib,6.1e-11,M,98,0,2017-10-27 14:43:04,98,0.817958801496,0.0747497687691
25260,25260,26420,HTS022,2017-10-28,2058-R1,97976,F12,2058-R1_F12,A2058,0.7,dabrafenib,1.6e-09,M,control,0.0,M,101,0,2017-10-27 14:43:04,101,0.91943806048,0.0840235257481
25280,25280,26440,HTS022,2017-10-28,2058-R1,97976,F13,2058-R1_F13,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,8e-07,M,90,0,2017-10-27 14:43:04,90,0.550544163321,0.0503118846942
25300,25300,26460,HTS022,2017-10-28,2058-R1,97976,F14,2058-R1_F14,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,2e-07,M,86,0,2017-10-27 14:43:04,86,0.647747866724,0.0591949168708
25320,25320,26480,HTS022,2017-10-28,2058-R1,97976,F15,2058-R1_F15,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,5e-08,M,80,0,2017-10-27 14:43:04,80,0.65601334518,0.0599502637198
25340,25340,26500,HTS022,2017-10-28,2058-R1,97976,F16,2058-R1_F16,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,1.2e-08,M,89,0,2017-10-27 14:43:04,89,0.642207421076,0.0586885991561
25360,25360,26520,HTS022,2017-10-28,2058-R1,97976,F17,2058-R1_F17,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,3.1e-09,M,111,1,2017-10-27 14:43:04,111,0.663542896118,0.0606383572895
25380,25380,26540,HTS022,2017-10-28,2058-R1,97976,F18,2058-R1_F18,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,7.8e-10,M,108,0,2017-10-27 14:43:04,108,0.712298691524,0.0650939416368
25400,25400,26560,HTS022,2017-10-28,2058-R1,97976,F19,2058-R1_F19,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,2e-10,M,95,0,2017-10-27 14:43:04,95,0.692885873215,0.0633198869081
25420,25420,26580,HTS022,2017-10-28,2058-R1,97976,F20,2058-R1_F20,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,4.9e-11,M,86,0,2017-10-27 14:43:04,86,0.758251552421,0.0692933777455
25440,25440,26600,HTS022,2017-10-28,2058-R1,97976,F21,2058-R1_F21,A2058,0.7,dabrafenib,1.6e-09,M,cobimetinib,1.2e-11,M,80,0,2017-10-27 14:43:04,80,0.833491166221,0.0761692053831
25460,25460,26620,HTS022,2017-10-28,2058-R1,97976,F22,2058-R1_F22,A2058,0.7,dabrafenib,1.6e-09,M,control,0.0,M,84,0,2017-10-27 14:43:04,84,1.06897539786,0.0976891056905
25480,25480,26640,HTS022,2017-10-28,2058-R1,97976,F23,2058-R1_F23,A2058,0.7,control,0.0,M,control,0.0,M,78,0,2017-10-27 14:43:04,78,1.0969325693,0.100243992437
25500,25500,26660,HTS022,2017-10-28,2058-R1,97976,G02,2058-R1_G02,A2058,0.7,control,0.0,M,control,0.0,M,72,1,2017-10-27 14:43:04,72,0.965207052457,0.0882061588597
25520,25520,26680,HTS022,2017-10-28,2058-R1,97976,G03,2058-R1_G03,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,4e-06,M,105,1,2017-10-27 14:43:04,105,0.495140884651,0.0452488151825
25540,25540,26700,HTS022,2017-10-28,2058-R1,97976,G04,2058-R1_G04,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,1e-06,M,80,5,2017-10-27 14:43:04,80,0.426905018027,0.0390130301496
25560,25560,26720,HTS022,2017-10-28,2058-R1,97976,G05,2058-R1_G05,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,2.5e-07,M,110,2,2017-10-27 14:43:04,110,0.566600450463,0.0517792003449
25580,25580,26740,HTS022,2017-10-28,2058-R1,97976,G06,2058-R1_G06,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,6.3e-08,M,75,1,2017-10-27 14:43:04,75,0.631899075781,0.0577465634133
25600,25600,26760,HTS022,2017-10-28,2058-R1,97976,G07,2058-R1_G07,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,1.6e-08,M,117,0,2017-10-27 14:43:04,117,0.588176440757,0.0537509381421
25620,25620,26780,HTS022,2017-10-28,2058-R1,97976,G08,2058-R1_G08,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,3.9e-09,M,104,0,2017-10-27 14:43:04,104,0.664903218506,0.0607626713549
25640,25640,26800,HTS022,2017-10-28,2058-R1,97976,G09,2058-R1_G09,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,9.8e-10,M,111,0,2017-10-27 14:43:04,111,0.814450148506,0.074429127926
25660,25660,26820,HTS022,2017-10-28,2058-R1,97976,G10,2058-R1_G10,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,2.4e-10,M,98,0,2017-10-27 14:43:04,98,0.852904746996,0.0779433297905
25680,25680,26840,HTS022,2017-10-28,2058-R1,97976,G11,2058-R1_G11,A2058,0.7,dabrafenib,3.9e-10,M,selumetinib,6.1e-11,M,82,0,2017-10-27 14:43:04,82,0.797013846188,0.0728356985699
25700,25700,26860,HTS022,2017-10-28,2058-R1,97976,G12,2058-R1_G12,A2058,0.7,dabrafenib,3.9e-10,M,control,0.0,M,80,0,2017-10-27 14:43:04,80,0.772806798911,0.0706235196885
25720,25720,26880,HTS022,2017-10-28,2058-R1,97976,G13,2058-R1_G13,A2058,0.7,dabrafenib,3.9e-10,M,cobimetinib,8e-07,M,78,0,2017-10-27 14:43:04,78,0.57682067515,0.052713183121
