"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"12","positive regulation of protein kinase activity (GO:0045860)","47/456",1.14566885956597e-06,0.000319068777389123,6.05532775832904e-05,0.0138880723116029,-2.43497023661571,33.3092287620899,"CDKN1A;ACADVL;MAGED1;ITGB3;LRRK2;ADCY2;VLDLR;PIK3R5;HERPUD1;GHR;CCND2;PDGFC;SSR1;JAK2;SNCA;MAP4K2;EPHA4;TGFB2;TGFB1;HSPA5;WFS1;ACSL1;STRADB;GFPT1;ATP2B4;TNFRSF10B;ASNS;WIPI1;TPD52L1;MAPK8IP2;PTK2;DNAJC3;MAP3K15;DAB2;KITLG;NRG3;PRKAR1A;ADAM9;HYOU1;TNIK;PKN1;KDELR3;GAS6;CARD14;MET;ATF6;AVPI1"
"13","cellular response to starvation (GO:0009267)","16/74",4.2710480757208e-07,0.000151389240429413,1.30702914888691e-05,0.00463282422864552,-2.18911116598612,32.1060218724654,"SREBF1;PRKAA2;HSPA5;CAV1;SPHK1;ASNS;SFRP1;IFI16;UCP2;PDK4;UPP1;GAS6;GLUL;SQSTM1;FADS1;OPTN"
"14","positive regulation of kinase activity (GO:0033674)","48/480",2.08001745772986e-06,0.000477058121628748,9.94023034129356e-05,0.0143544289261865,-2.43010345371103,31.7933697776792,"PFKFB2;CDKN1A;ACADVL;MAGED1;ITGB3;LRRK2;ADCY2;VLDLR;PIK3R5;HERPUD1;GHR;CCND2;PDGFC;SSR1;JAK2;SNCA;MAP4K2;EPHA4;TGFB2;TGFB1;HSPA5;WFS1;ACSL1;STRADB;GFPT1;ATP2B4;TNFRSF10B;ASNS;WIPI1;TPD52L1;MAPK8IP2;PTK2;DNAJC3;MAP3K15;DAB2;KITLG;NRG3;PRKAR1A;ADAM9;HYOU1;TNIK;PKN1;KDELR3;GAS6;CARD14;MET;ATF6;AVPI1"
"15","response to starvation (GO:0042594)","19/106",8.03207967527719e-07,0.000240900605030044,2.17719646792586e-05,0.00707407419036909,-2.22422746625602,31.2162588321434,"SREBF1;PRKAA2;HSPA5;CAV1;SPHK1;ASNS;ADM;SFRP1;IFI16;UCP2;PDK4;ACADM;UPP1;GAS6;PPARGC1A;GLUL;SQSTM1;OPTN;FADS1"
"16","monovalent inorganic cation transport (GO:0015672)","41/384",2.27415745543509e-06,0.000482324042305133,8.83814817677139e-05,0.0143544289261865,-2.33628521375296,30.3574585963499,"COX7B;KCNG4;KCNE4;ATP5A1;ATP1A3;ATP5C1;NEDD4L;SLC3A2;ATP5G3;COX6A1;ATP5G1;SLC5A4;SLC8A1;SLC8A2;SLC9A3R1;ATP5B;NNT;UCP2;ATP6V1H;UQCRFS1;SLC17A7;ATP6V0A4;KCNN2;SCN5A;SLC12A7;COX10;ATP6V1C1;KCNH2;COX8A;SLC6A15;ATP1B2;KCNAB2;ATP1B1;COX6C;KCNQ3;UQCRC1;NOX5;SGK1;RHCG;ATP6V0D2;HCN2"
"17","extracellular matrix organization (GO:0030198)","39/359",2.62669310906799e-06,0.000495814926270418,9.37333921135578e-05,0.0143544289261865,-2.33312227275515,29.980119294096,"DDR1;ITGB3;COL11A2;TNC;KLK4;HSD17B12;OLFML2A;FBLN5;COL19A1;EFEMP1;CTSL;SH3PXD2B;SPP1;ITGB8;HAS2;NCAM1;CAPN1;A2M;SNCA;TFAP2A;TGFB2;TGFB1;LUM;APLP2;FN1;BMP7;PTK2;BCAN;MMP14;VCAN;COL5A1;COL4A2;ITGA10;COL5A3;PXDN;ITGA7;ADAM9;GAS6;CD44"
"18","organic hydroxy compound biosynthetic process (GO:1901617)","24/166",1.80545441573845e-06,0.000469297784464282,4.58525235944605e-05,0.0113562095580584,-2.25734832087654,29.8527503751751,"CDS1;PMEL;SLC45A2;ISYNA1;TGFB2;PRKAA2;ACAA2;GOT1;CHKA;TYRP1;TYR;CYB5R2;CYP27A1;PHOSPHO1;SPTLC2;DCT;FABP5;IMPA1;CHPT1;DHCR7;INSM1;ACADM;SNCA;ALDH9A1"
"19","extracellular structure organization (GO:0043062)","39/360",2.81094527997185e-06,0.000498176165755011,9.88888106758047e-05,0.0143544289261865,-2.33029704220065,29.7858328673668,"DDR1;ITGB3;COL11A2;TNC;KLK4;HSD17B12;OLFML2A;FBLN5;COL19A1;EFEMP1;CTSL;SH3PXD2B;SPP1;ITGB8;HAS2;NCAM1;CAPN1;A2M;SNCA;TFAP2A;TGFB2;TGFB1;LUM;APLP2;FN1;BMP7;PTK2;BCAN;MMP14;VCAN;COL4A2;COL5A1;COL5A3;ITGA10;PXDN;ITGA7;ADAM9;GAS6;CD44"
"21","fatty acid metabolic process (GO:0006631)","33/280",2.67045741258753e-06,0.000495814926270418,8.02834844388799e-05,0.0143544289261865,-2.29739173658375,29.4830272800771,"PECR;ACADVL;ACAA2;PRKAA2;HPGD;ECI1;TYRP1;ETFDH;HSD17B12;ADIPOR1;GHR;CYP4V2;ACADM;ABCD1;PPARGC1A;FADS1;SNCA;DECR1;LYPLA1;ACSL1;SPHK1;SCD5;ACOT12;ELOVL7;ACSL3;HADHB;HADHA;SCD;EHHADH;PCCB;SLC27A3;CRAT;MGLL"
"22","energy derivation by oxidation of organic compounds (GO:0015980)","26/198",4.26956507519646e-06,0.00072378409687787,9.54259714064509e-05,0.0143544289261865,-2.27074256644092,28.0754578939005,"ACADVL;PRKAA2;UQCRB;FASTKD1;FASTKD2;STXBP1;ITPR2;ADCY2;PPP1CB;UGP2;ACADM;GYG2;PPARGC1A;PGM1;COX10;GFPT1;CACNA2D2;PHKA1;SDHB;MARCKS;PRKAR1A;UQCRC1;NDUFS1;UQCRC2;SLC25A5;SLC25A4"
"23","negative regulation of nervous system development (GO:0051961)","27/211",4.60704028449609e-06,0.00074845208621876,0.000104239034489999,0.0145152855527323,-2.24955684880675,27.6423856790815,"ROBO2;SEMA5A;NOTCH3;SEMA3A;CEND1;FUOM;DPYSL3;SPP1;SLIT1;CTNNA1;MBP;HES1;APOE;CDK5RAP2;RAP1GAP2;LINGO1;EPHA4;TGFB1;JAG1;HMGA2;BMP7;PTK2;OLFM1;GPR161;CTNNB1;VIM;TNFRSF21"
"24","cellular response to extracellular stimulus (GO:0031668)","19/119",4.84360120475495e-06,0.000751555411510825,8.7528249630589e-05,0.0143544289261865,-2.22418521747731,27.2192496529438,"SREBF1;CDKN1A;PRKAA2;HSPA5;CAV1;SPHK1;TNC;ASNS;SFRP1;IFI16;UCP2;PDK4;UPP1;GAS6;GLUL;SQSTM1;OPTN;SIPA1;FADS1"
"26","regulation of sodium ion transport (GO:0002028)","13/60",5.01165444967465e-06,0.000751555411510825,8.19683663867411e-05,0.0143544289261865,-2.19915143191521,26.8378821213212,"TGFB1;AHCYL1;TESC;ATP2B4;NEDD4L;ATP1B2;ATP1B1;SLC9A3R1;CNTN1;PKP2;STOM;GPD1L;SCN5A"
"27","cellular response to nutrient levels (GO:0031669)","17/99",5.54071919178644e-06,0.000800120893658346,9.2997138676109e-05,0.0143544289261865,-2.21568969374645,26.8173481682813,"SREBF1;PRKAA2;HSPA5;CAV1;SPHK1;TNC;ASNS;SFRP1;IFI16;UCP2;PDK4;UPP1;GAS6;GLUL;SQSTM1;OPTN;FADS1"
"28","fatty acid oxidation (GO:0019395)","14/64",1.93001314901259e-06,0.000470320079250005,4.02240186751469e-05,0.0113562095580584,-2.03419470862278,26.7659009043463,"ACADVL;ECI1;ETFDH;ADIPOR1;HADHB;HADHA;EHHADH;CYP4V2;PCCB;ACADM;ABCD1;PPARGC1A;CRAT;DECR1"
"31","glycolytic process (GO:0006096)","11/44",6.14471724151042e-06,0.000830640102485801,9.66797631790093e-05,0.0143544289261865,-2.21280273884464,26.5534510410313,"PFKFB2;GPI;PDHA1;OGDH;OGDHL;ALDOC;ENO2;PFKP;HK2;PGM1;HK1"
"32","lipid oxidation (GO:0034440)","14/65",2.35038645904014e-06,0.000482324042305133,4.66015267835175e-05,0.0113562095580584,-2.03231880286845,26.3407433526268,"ACADVL;ECI1;ETFDH;ADIPOR1;HADHB;HADHA;EHHADH;CYP4V2;PCCB;ACADM;ABCD1;PPARGC1A;CRAT;DECR1"
"33","glycerolipid biosynthetic process (GO:0045017)","26/202",6.17813874636785e-06,0.000830640102485801,0.000127781647536052,0.0171800221980368,-2.18903209422569,26.2563312377038,"CDS1;PGAP2;PIK3R3;HSD17B12;PLD1;PLB1;PIK3R5;PTDSS1;IMPA1;PIP4K2A;GK;CHKA;DGAT1;ACSL1;SACM1L;ELOVL7;HADHB;HADHA;PLSCR1;PHOSPHO1;FABP5;SYNJ1;CHPT1;GPD1L;MGLL;CDS2"
