,index,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,rate,rate.95ci
17,17,HTS022,2017-10-28,1799-R1,97984,B20,1799-R1_B20,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,4.9E-11,M,60,1,2017-10-27 16:15:06,60,-0.00301,0.00198
18,18,HTS022,2017-10-28,1799-R1,97984,B21,1799-R1_B21,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,1.2E-11,M,78,0,2017-10-27 16:15:06,78,0.00365,0.00159
19,19,HTS022,2017-10-28,1799-R1,97984,B22,1799-R1_B22,WM1799,2.3,dabrafenib,0.0000004,M,control,0,M,49,1,2017-10-27 16:15:06,49,0.00277,0.00103
20,20,HTS022,2017-10-28,1799-R1,97984,C03,1799-R1_C03,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.000004,M,69,28,2017-10-27 16:15:06,69,-0.00389,0.00176
21,21,HTS022,2017-10-28,1799-R1,97984,C04,1799-R1_C04,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.000001,M,75,12,2017-10-27 16:15:06,75,-0.00464,0.0007
22,22,HTS022,2017-10-28,1799-R1,97984,C05,1799-R1_C05,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.00000025,M,65,9,2017-10-27 16:15:06,65,-0.00464,0.00047
23,23,HTS022,2017-10-28,1799-R1,97984,C06,1799-R1_C06,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.000000063,M,80,23,2017-10-27 16:15:06,80,0.00456,0.00259
24,24,HTS022,2017-10-28,1799-R1,97984,C07,1799-R1_C07,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.000000016,M,88,6,2017-10-27 16:15:06,88,0.00307,0.00118
25,25,HTS022,2017-10-28,1799-R1,97984,C08,1799-R1_C08,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,3.9E-09,M,78,9,2017-10-27 16:15:06,78,0.00442,0.00129
26,26,HTS022,2017-10-28,1799-R1,97984,C09,1799-R1_C09,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,0.000000001,M,67,2,2017-10-27 16:15:06,67,0.00508,0.0011
27,27,HTS022,2017-10-28,1799-R1,97984,C10,1799-R1_C10,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,2.4E-10,M,59,3,2017-10-27 16:15:06,59,0.00223,0.00126
28,28,HTS022,2017-10-28,1799-R1,97984,C11,1799-R1_C11,WM1799,2.3,dabrafenib,0.0000001,M,selumetinib,6.1E-11,M,50,2,2017-10-27 16:15:06,50,0.00251,0.00057
29,29,HTS022,2017-10-28,1799-R1,97984,C12,1799-R1_C12,WM1799,2.3,dabrafenib,0.0000001,M,control,0,M,67,8,2017-10-27 16:15:06,67,0.0055,0.00079
30,30,HTS022,2017-10-28,1799-R1,97984,C13,1799-R1_C13,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,0.0000008,M,59,1,2017-10-27 16:15:06,59,0.00504,0.00111
31,31,HTS022,2017-10-28,1799-R1,97984,C14,1799-R1_C14,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,0.0000002,M,47,2,2017-10-27 16:15:06,47,0.00372,0.00092
32,32,HTS022,2017-10-28,1799-R1,97984,C15,1799-R1_C15,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,0.00000005,M,71,2,2017-10-27 16:15:06,71,0.00164,0.00087
33,33,HTS022,2017-10-28,1799-R1,97984,C16,1799-R1_C16,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,0.000000012,M,69,2,2017-10-27 16:15:06,69,-0.00126,0.00034
34,34,HTS022,2017-10-28,1799-R1,97984,C17,1799-R1_C17,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,3.1E-09,M,53,1,2017-10-27 16:15:06,53,0.00375,0.00042
35,35,HTS022,2017-10-28,1799-R1,97984,C18,1799-R1_C18,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,7.8E-10,M,49,2,2017-10-27 16:15:06,49,0.00302,0.00118
36,36,HTS022,2017-10-28,1799-R1,97984,C19,1799-R1_C19,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,2E-10,M,58,1,2017-10-27 16:15:06,58,0.00392,0.00101
37,37,HTS022,2017-10-28,1799-R1,97984,C20,1799-R1_C20,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,4.9E-11,M,92,0,2017-10-27 16:15:06,92,0.00305,0.00155
38,38,HTS022,2017-10-28,1799-R1,97984,C21,1799-R1_C21,WM1799,2.3,dabrafenib,0.0000001,M,cobimetinib,1.2E-11,M,48,1,2017-10-27 16:15:06,48,0.00408,0.00108
39,39,HTS022,2017-10-28,1799-R1,97984,C22,1799-R1_C22,WM1799,2.3,dabrafenib,0.0000001,M,control,0,M,58,0,2017-10-27 16:15:06,58,0.00345,0.00067
40,40,HTS022,2017-10-28,1799-R1,97984,D02,1799-R1_D02,WM1799,2.3,control,0,M,control,0,M,81,0,2017-10-27 16:15:06,81,0.01889,0.00081
41,41,HTS022,2017-10-28,1799-R1,97984,D03,1799-R1_D03,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.000004,M,76,2,2017-10-27 16:15:06,76,0.00166,0.00058
42,42,HTS022,2017-10-28,1799-R1,97984,D04,1799-R1_D04,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.000001,M,69,0,2017-10-27 16:15:06,69,0.00353,0.00104
43,43,HTS022,2017-10-28,1799-R1,97984,D05,1799-R1_D05,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.00000025,M,90,0,2017-10-27 16:15:06,90,0.00261,0.00135
44,44,HTS022,2017-10-28,1799-R1,97984,D06,1799-R1_D06,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.000000063,M,68,1,2017-10-27 16:15:06,68,0.00261,0.00015
45,45,HTS022,2017-10-28,1799-R1,97984,D07,1799-R1_D07,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.000000016,M,78,0,2017-10-27 16:15:06,78,0.00583,0.0053
46,46,HTS022,2017-10-28,1799-R1,97984,D08,1799-R1_D08,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,3.9E-09,M,96,1,2017-10-27 16:15:06,96,0.00383,0.00048
47,47,HTS022,2017-10-28,1799-R1,97984,D09,1799-R1_D09,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,0.000000001,M,85,3,2017-10-27 16:15:06,85,0.00564,0.00057
48,48,HTS022,2017-10-28,1799-R1,97984,D10,1799-R1_D10,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,2.4E-10,M,79,1,2017-10-27 16:15:06,79,0.0037,0.00121
49,49,HTS022,2017-10-28,1799-R1,97984,D11,1799-R1_D11,WM1799,2.3,dabrafenib,0.000000025,M,selumetinib,6.1E-11,M,79,0,2017-10-27 16:15:06,79,0.00577,0.00044
50,50,HTS022,2017-10-28,1799-R1,97984,D12,1799-R1_D12,WM1799,2.3,dabrafenib,0.000000025,M,control,0,M,55,0,2017-10-27 16:15:06,55,0.00786,0.00271
51,51,HTS022,2017-10-28,1799-R1,97984,D13,1799-R1_D13,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,0.0000008,M,98,1,2017-10-27 16:15:06,98,0.00501,0.00139
52,52,HTS022,2017-10-28,1799-R1,97984,D14,1799-R1_D14,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,0.0000002,M,80,0,2017-10-27 16:15:06,80,0.00411,0.00177
53,53,HTS022,2017-10-28,1799-R1,97984,D15,1799-R1_D15,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,0.00000005,M,64,1,2017-10-27 16:15:06,64,0.00562,0.00081
54,54,HTS022,2017-10-28,1799-R1,97984,D16,1799-R1_D16,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,0.000000012,M,71,2,2017-10-27 16:15:06,71,0.00577,0.00198
55,55,HTS022,2017-10-28,1799-R1,97984,D17,1799-R1_D17,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,3.1E-09,M,66,0,2017-10-27 16:15:06,66,-0.00406,0.00194
56,56,HTS022,2017-10-28,1799-R1,97984,D18,1799-R1_D18,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,7.8E-10,M,77,0,2017-10-27 16:15:06,77,0.00478,0.00106
57,57,HTS022,2017-10-28,1799-R1,97984,D19,1799-R1_D19,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,2E-10,M,71,0,2017-10-27 16:15:06,71,0.00162,0.00061
58,58,HTS022,2017-10-28,1799-R1,97984,D20,1799-R1_D20,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,4.9E-11,M,76,0,2017-10-27 16:15:06,76,0.00284,0.0006
59,59,HTS022,2017-10-28,1799-R1,97984,D21,1799-R1_D21,WM1799,2.3,dabrafenib,0.000000025,M,cobimetinib,1.2E-11,M,78,0,2017-10-27 16:15:06,78,0.00245,0.00081
60,60,HTS022,2017-10-28,1799-R1,97984,D22,1799-R1_D22,WM1799,2.3,dabrafenib,0.000000025,M,control,0,M,61,1,2017-10-27 16:15:06,61,0.00322,0.00083
61,61,HTS022,2017-10-28,1799-R1,97984,E02,1799-R1_E02,WM1799,2.3,control,0,M,control,0,M,85,16,2017-10-27 16:15:06,85,0.01699,0.00059
62,62,HTS022,2017-10-28,1799-R1,97984,E03,1799-R1_E03,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.000004,M,106,20,2017-10-27 16:15:06,106,0.0024,0.00091
63,63,HTS022,2017-10-28,1799-R1,97984,E04,1799-R1_E04,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.000001,M,90,14,2017-10-27 16:15:06,90,0.00631,0.00356
64,64,HTS022,2017-10-28,1799-R1,97984,E05,1799-R1_E05,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.00000025,M,88,14,2017-10-27 16:15:06,88,-0.00336,0.00229
65,65,HTS022,2017-10-28,1799-R1,97984,E06,1799-R1_E06,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.000000063,M,109,6,2017-10-27 16:15:06,109,0.00611,0.0019
66,66,HTS022,2017-10-28,1799-R1,97984,E07,1799-R1_E07,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.000000016,M,77,9,2017-10-27 16:15:06,77,0.0035,0.00243
67,67,HTS022,2017-10-28,1799-R1,97984,E08,1799-R1_E08,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,3.9E-09,M,79,9,2017-10-27 16:15:06,79,0.00399,0.00101
68,68,HTS022,2017-10-28,1799-R1,97984,E09,1799-R1_E09,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,0.000000001,M,85,5,2017-10-27 16:15:06,85,0.00507,0.00186
69,69,HTS022,2017-10-28,1799-R1,97984,E10,1799-R1_E10,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,2.4E-10,M,67,4,2017-10-27 16:15:06,67,0.00523,0.00061
70,70,HTS022,2017-10-28,1799-R1,97984,E11,1799-R1_E11,WM1799,2.3,dabrafenib,6.2E-09,M,selumetinib,6.1E-11,M,83,8,2017-10-27 16:15:06,83,0.00464,0.00058
71,71,HTS022,2017-10-28,1799-R1,97984,E12,1799-R1_E12,WM1799,2.3,dabrafenib,6.2E-09,M,control,0,M,67,1,2017-10-27 16:15:06,67,0.00732,0.00068
72,72,HTS022,2017-10-28,1799-R1,97984,E13,1799-R1_E13,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,0.0000008,M,70,1,2017-10-27 16:15:06,70,0.00349,0.00147
73,73,HTS022,2017-10-28,1799-R1,97984,E14,1799-R1_E14,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,0.0000002,M,81,2,2017-10-27 16:15:06,81,0.00089,0.00052
74,74,HTS022,2017-10-28,1799-R1,97984,E15,1799-R1_E15,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,0.00000005,M,63,1,2017-10-27 16:15:06,63,0.00269,0.00123
75,75,HTS022,2017-10-28,1799-R1,97984,E16,1799-R1_E16,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,0.000000012,M,90,2,2017-10-27 16:15:06,90,0.00479,0.00154
76,76,HTS022,2017-10-28,1799-R1,97984,E17,1799-R1_E17,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,3.1E-09,M,95,0,2017-10-27 16:15:06,95,0.00185,0.00049
77,77,HTS022,2017-10-28,1799-R1,97984,E18,1799-R1_E18,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,7.8E-10,M,91,0,2017-10-27 16:15:06,91,0.00215,0.00026
78,78,HTS022,2017-10-28,1799-R1,97984,E19,1799-R1_E19,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,2E-10,M,85,2,2017-10-27 16:15:06,85,-0.00309,0.0014
79,79,HTS022,2017-10-28,1799-R1,97984,E20,1799-R1_E20,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,4.9E-11,M,82,0,2017-10-27 16:15:06,82,0.00475,0.00075
80,80,HTS022,2017-10-28,1799-R1,97984,E21,1799-R1_E21,WM1799,2.3,dabrafenib,6.2E-09,M,cobimetinib,1.2E-11,M,74,0,2017-10-27 16:15:06,74,-0.0062,0.00138
81,81,HTS022,2017-10-28,1799-R1,97984,E22,1799-R1_E22,WM1799,2.3,dabrafenib,6.2E-09,M,control,0,M,51,0,2017-10-27 16:15:06,51,0.00491,0.00081
82,82,HTS022,2017-10-28,1799-R1,97984,F03,1799-R1_F03,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.000004,M,87,1,2017-10-27 16:15:06,87,0.00118,0.00045
83,83,HTS022,2017-10-28,1799-R1,97984,F04,1799-R1_F04,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.000001,M,79,0,2017-10-27 16:15:06,79,0.00276,0.00066
84,84,HTS022,2017-10-28,1799-R1,97984,F05,1799-R1_F05,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.00000025,M,84,2,2017-10-27 16:15:06,84,0.00244,0.00089
85,85,HTS022,2017-10-28,1799-R1,97984,F06,1799-R1_F06,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.000000063,M,80,1,2017-10-27 16:15:06,80,0.00228,0.0005
86,86,HTS022,2017-10-28,1799-R1,97984,F07,1799-R1_F07,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.000000016,M,94,0,2017-10-27 16:15:06,94,0.00219,0.00058
87,87,HTS022,2017-10-28,1799-R1,97984,F08,1799-R1_F08,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,3.9E-09,M,89,0,2017-10-27 16:15:06,89,0.00538,0.001
88,88,HTS022,2017-10-28,1799-R1,97984,F09,1799-R1_F09,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,0.000000001,M,89,1,2017-10-27 16:15:06,89,0.00419,0.00059
89,89,HTS022,2017-10-28,1799-R1,97984,F10,1799-R1_F10,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,2.4E-10,M,82,0,2017-10-27 16:15:06,82,0.00812,0.0005
90,90,HTS022,2017-10-28,1799-R1,97984,F11,1799-R1_F11,WM1799,2.3,dabrafenib,1.6E-09,M,selumetinib,6.1E-11,M,104,0,2017-10-27 16:15:06,104,0.00644,0.00044
91,91,HTS022,2017-10-28,1799-R1,97984,F12,1799-R1_F12,WM1799,2.3,dabrafenib,1.6E-09,M,control,0,M,93,0,2017-10-27 16:15:06,93,0.00862,0.0006
92,92,HTS022,2017-10-28,1799-R1,97984,F13,1799-R1_F13,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,0.0000008,M,101,0,2017-10-27 16:15:06,101,-0.00084,0.00035
93,93,HTS022,2017-10-28,1799-R1,97984,F14,1799-R1_F14,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,0.0000002,M,73,0,2017-10-27 16:15:06,73,0.00538,0.00096
94,94,HTS022,2017-10-28,1799-R1,97984,F15,1799-R1_F15,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,0.00000005,M,51,0,2017-10-27 16:15:06,51,0.00199,0.00088
95,95,HTS022,2017-10-28,1799-R1,97984,F16,1799-R1_F16,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,0.000000012,M,82,2,2017-10-27 16:15:06,82,0.00246,0.00047
96,96,HTS022,2017-10-28,1799-R1,97984,F17,1799-R1_F17,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,3.1E-09,M,85,0,2017-10-27 16:15:06,85,0.00239,0.00075
97,97,HTS022,2017-10-28,1799-R1,97984,F18,1799-R1_F18,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,7.8E-10,M,64,0,2017-10-27 16:15:06,64,0.00581,0.00086
98,98,HTS022,2017-10-28,1799-R1,97984,F19,1799-R1_F19,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,2E-10,M,81,1,2017-10-27 16:15:06,81,0.00527,0.00045
99,99,HTS022,2017-10-28,1799-R1,97984,F20,1799-R1_F20,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,4.9E-11,M,97,0,2017-10-27 16:15:06,97,0.00091,0.00028
100,100,HTS022,2017-10-28,1799-R1,97984,F21,1799-R1_F21,WM1799,2.3,dabrafenib,1.6E-09,M,cobimetinib,1.2E-11,M,75,1,2017-10-27 16:15:06,75,0.00296,0.00076
101,101,HTS022,2017-10-28,1799-R1,97984,F22,1799-R1_F22,WM1799,2.3,dabrafenib,1.6E-09,M,control,0,M,63,1,2017-10-27 16:15:06,63,0.0107,0.00065
102,102,HTS022,2017-10-28,1799-R1,97984,F23,1799-R1_F23,WM1799,2.3,control,0,M,control,0,M,77,0,2017-10-27 16:15:06,77,0.01449,0.00082
103,103,HTS022,2017-10-28,1799-R1,97984,G03,1799-R1_G03,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.000004,M,96,21,2017-10-27 16:15:06,96,0.00565,0.0022
104,104,HTS022,2017-10-28,1799-R1,97984,G04,1799-R1_G04,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.000001,M,95,14,2017-10-27 16:15:06,95,0.0025,0.00063
105,105,HTS022,2017-10-28,1799-R1,97984,G05,1799-R1_G05,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.00000025,M,79,6,2017-10-27 16:15:06,79,0.0061,0.00076
106,106,HTS022,2017-10-28,1799-R1,97984,G06,1799-R1_G06,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.000000063,M,145,9,2017-10-27 16:15:06,145,0.00324,0.00097
107,107,HTS022,2017-10-28,1799-R1,97984,G07,1799-R1_G07,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.000000016,M,105,13,2017-10-27 16:15:06,105,0.00287,0.00058
108,108,HTS022,2017-10-28,1799-R1,97984,G08,1799-R1_G08,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,3.9E-09,M,62,4,2017-10-27 16:15:06,62,0.0047,0.00079
109,109,HTS022,2017-10-28,1799-R1,97984,G09,1799-R1_G09,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,0.000000001,M,67,3,2017-10-27 16:15:06,67,0.00953,0.00113
110,110,HTS022,2017-10-28,1799-R1,97984,G10,1799-R1_G10,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,2.4E-10,M,77,2,2017-10-27 16:15:06,77,0.00928,0.00043
111,111,HTS022,2017-10-28,1799-R1,97984,G11,1799-R1_G11,WM1799,2.3,dabrafenib,3.9E-10,M,selumetinib,6.1E-11,M,96,3,2017-10-27 16:15:06,96,0.00976,0.00084
112,112,HTS022,2017-10-28,1799-R1,97984,G12,1799-R1_G12,WM1799,2.3,dabrafenib,3.9E-10,M,control,0,M,61,2,2017-10-27 16:15:06,61,0.01027,0.00068
113,113,HTS022,2017-10-28,1799-R1,97984,G13,1799-R1_G13,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,0.0000008,M,86,2,2017-10-27 16:15:06,86,-0.00121,0.00067
114,114,HTS022,2017-10-28,1799-R1,97984,G14,1799-R1_G14,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,0.0000002,M,71,0,2017-10-27 16:15:06,71,0.00537,0.00135
115,115,HTS022,2017-10-28,1799-R1,97984,G15,1799-R1_G15,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,0.00000005,M,81,3,2017-10-27 16:15:06,81,-0.00175,0.00091
116,116,HTS022,2017-10-28,1799-R1,97984,G16,1799-R1_G16,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,0.000000012,M,72,0,2017-10-27 16:15:06,72,0.00688,0.00082
117,117,HTS022,2017-10-28,1799-R1,97984,G17,1799-R1_G17,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,3.1E-09,M,92,1,2017-10-27 16:15:06,92,0.00075,0.00027
118,118,HTS022,2017-10-28,1799-R1,97984,G18,1799-R1_G18,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,7.8E-10,M,66,2,2017-10-27 16:15:06,66,0.00424,0.00056
119,119,HTS022,2017-10-28,1799-R1,97984,G19,1799-R1_G19,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,2E-10,M,67,1,2017-10-27 16:15:06,67,0.00486,0.00058
120,120,HTS022,2017-10-28,1799-R1,97984,G20,1799-R1_G20,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,4.9E-11,M,64,0,2017-10-27 16:15:06,64,0.00136,0.00029
121,121,HTS022,2017-10-28,1799-R1,97984,G21,1799-R1_G21,WM1799,2.3,dabrafenib,3.9E-10,M,cobimetinib,1.2E-11,M,86,1,2017-10-27 16:15:06,86,0.00289,0.00067
122,122,HTS022,2017-10-28,1799-R1,97984,G22,1799-R1_G22,WM1799,2.3,dabrafenib,3.9E-10,M,control,0,M,59,0,2017-10-27 16:15:06,59,0.01246,0.00102
123,123,HTS022,2017-10-28,1799-R1,97984,G23,1799-R1_G23,WM1799,2.3,control,0,M,control,0,M,62,0,2017-10-27 16:15:06,62,0.0187,0.00068
124,124,HTS022,2017-10-28,1799-R1,97984,H03,1799-R1_H03,WM1799,2.3,control,0,M,selumetinib,0.000004,M,104,0,2017-10-27 16:15:06,104,0.0039,0.00042
125,125,HTS022,2017-10-28,1799-R1,97984,H04,1799-R1_H04,WM1799,2.3,control,0,M,selumetinib,0.000001,M,65,0,2017-10-27 16:15:06,65,0.01027,0.00093
126,126,HTS022,2017-10-28,1799-R1,97984,H05,1799-R1_H05,WM1799,2.3,control,0,M,selumetinib,0.00000025,M,83,0,2017-10-27 16:15:06,83,0.01067,0.00048
127,127,HTS022,2017-10-28,1799-R1,97984,H06,1799-R1_H06,WM1799,2.3,control,0,M,selumetinib,0.000000063,M,97,0,2017-10-27 16:15:06,97,0.01197,0.00056
128,128,HTS022,2017-10-28,1799-R1,97984,H07,1799-R1_H07,WM1799,2.3,control,0,M,selumetinib,0.000000016,M,102,4,2017-10-27 16:15:06,102,0.01545,0.00048
129,129,HTS022,2017-10-28,1799-R1,97984,H08,1799-R1_H08,WM1799,2.3,control,0,M,selumetinib,3.9E-09,M,107,2,2017-10-27 16:15:06,107,0.02229,0.00061
130,130,HTS022,2017-10-28,1799-R1,97984,H09,1799-R1_H09,WM1799,2.3,control,0,M,selumetinib,0.000000001,M,86,0,2017-10-27 16:15:06,86,0.01808,0.00081
131,131,HTS022,2017-10-28,1799-R1,97984,H10,1799-R1_H10,WM1799,2.3,control,0,M,selumetinib,2.4E-10,M,93,1,2017-10-27 16:15:06,93,0.02169,0.00102
132,132,HTS022,2017-10-28,1799-R1,97984,H11,1799-R1_H11,WM1799,2.3,control,0,M,selumetinib,6.1E-11,M,86,1,2017-10-27 16:15:06,86,0.02136,0.00106
