,cell.line,drug1,drug1.conc,drug2,drug2.conc,rate,rate.95ci
76,PC9c1,dasatinib,1.25e-07,osimertinib,6.25e-09,-0.0270448789017,0.0142037054418
77,PC9c1,dasatinib,1.25e-07,osimertinib,1.25e-08,-0.0252303175634,0.0101241370851
78,PC9c1,dasatinib,1.25e-07,osimertinib,2.5e-08,-0.017655318001,0.00750805976709
79,PC9c1,dasatinib,1.25e-07,osimertinib,5e-08,-0.0243685374471,0.00975826744778
80,PC9c1,dasatinib,1.25e-07,osimertinib,1e-07,-0.0223423681468,0.00979306188447
81,PC9c1,dasatinib,1.25e-07,osimertinib,2e-07,-0.0150227989257,0.00771362091907
82,PC9c1,dasatinib,2.5e-07,osimertinib,0.0,-0.0239102475504,0.0114797571366
83,PC9c1,dasatinib,2.5e-07,osimertinib,1.9531e-10,-0.0179379684468,0.0155004006034
84,PC9c1,dasatinib,2.5e-07,osimertinib,3.9063e-10,-0.0163633157403,0.0123422035368
85,PC9c1,dasatinib,2.5e-07,osimertinib,7.8125e-10,-0.0178454993306,0.0127864207963
86,PC9c1,dasatinib,2.5e-07,osimertinib,1.5625e-09,-0.0105439906277,0.00838177224311
87,PC9c1,dasatinib,2.5e-07,osimertinib,3.125e-09,-0.0102449887135,0.00620941029424
88,PC9c1,dasatinib,2.5e-07,osimertinib,6.25e-09,-0.0121208052544,0.00863711437677
89,PC9c1,dasatinib,2.5e-07,osimertinib,1.25e-08,-0.0134805001694,0.00661465409269
90,PC9c1,dasatinib,2.5e-07,osimertinib,2.5e-08,-0.0240196338123,0.0111580069974
91,PC9c1,dasatinib,2.5e-07,osimertinib,5e-08,-0.0162499137123,0.00791613698005
92,PC9c1,dasatinib,2.5e-07,osimertinib,1e-07,-0.0253753556517,0.00988024425294
93,PC9c1,dasatinib,2.5e-07,osimertinib,2e-07,-0.0157948629155,0.00844838284994
94,PC9c1,dasatinib,5e-07,osimertinib,0.0,-0.0118552418291,0.00650958543806
95,PC9c1,dasatinib,5e-07,osimertinib,1.9531e-10,-0.0191998422491,0.00912232104962
96,PC9c1,dasatinib,5e-07,osimertinib,3.9063e-10,-0.00798798351159,0.00648217226972
97,PC9c1,dasatinib,5e-07,osimertinib,7.8125e-10,-0.0220544605749,0.00524172353408
98,PC9c1,dasatinib,5e-07,osimertinib,1.5625e-09,-0.0120149713962,0.00496513025362
99,PC9c1,dasatinib,5e-07,osimertinib,3.125e-09,-0.0158803665229,0.00513865696528
100,PC9c1,dasatinib,5e-07,osimertinib,6.25e-09,-0.0251174531718,0.00746570430653
101,PC9c1,dasatinib,5e-07,osimertinib,1.25e-08,-0.0183423451262,0.0045283410971
102,PC9c1,dasatinib,5e-07,osimertinib,2.5e-08,-0.0126897220192,0.00580045424749
103,PC9c1,dasatinib,5e-07,osimertinib,5e-08,-0.0212407200716,0.00689126075431
104,PC9c1,dasatinib,5e-07,osimertinib,1e-07,-0.0249278557719,0.0131630874556
105,PC9c1,dasatinib,5e-07,osimertinib,2e-07,-0.0136980244503,0.00645851773977
106,PC9c1,dasatinib,1e-06,osimertinib,0.0,-0.00992416249021,0.00389120657803
107,PC9c1,dasatinib,1e-06,osimertinib,1.9531e-10,-0.0169955924013,0.00897662919727
108,PC9c1,dasatinib,1e-06,osimertinib,3.9063e-10,-0.0129389921524,0.00200377214721
109,PC9c1,dasatinib,1e-06,osimertinib,7.8125e-10,-0.00641868295463,0.00282397013026
110,PC9c1,dasatinib,1e-06,osimertinib,1.5625e-09,-0.00930926156167,0.005480629007
111,PC9c1,dasatinib,1e-06,osimertinib,3.125e-09,-0.00941506507436,0.00560261020241
112,PC9c1,dasatinib,1e-06,osimertinib,6.25e-09,-0.017385864765,0.00491350673272
113,PC9c1,dasatinib,1e-06,osimertinib,1.25e-08,-0.0121337741471,0.00716936448698
114,PC9c1,dasatinib,1e-06,osimertinib,2.5e-08,-0.0109355542715,0.00555083353801
115,PC9c1,dasatinib,1e-06,osimertinib,5e-08,-0.0112971286299,0.00549971846797
116,PC9c1,dasatinib,1e-06,osimertinib,1e-07,-0.00895753094398,0.00482825217376
117,PC9c1,dasatinib,1e-06,osimertinib,2e-07,-0.0183486101166,0.00649698413043
118,PC9c1,dasatinib,0.0,osimertinib,0.0,0.0322580794062,0.00574026679423
