"expt.id","expt.date","plate.name","plate.id","well","uid","cell.line","drug1","drug1.conc","drug1.units","drug2","drug2.conc","drug2.units","orig.cell.count","rate","rate.95ci","cld","cld2"
"HTS018","2017-07-28","BR1-O1a",95676,"H08","BR1-O1a_H08","BR1","osimertinib",0,"M","cisplatin",3.9e-10,"M",92,0.039,0.0014,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H09","BR1-O1a_H09","BR1","osimertinib",0,"M","cisplatin",9.8e-11,"M",88,0.03563,0.00129,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H10","BR1-O1a_H10","BR1","osimertinib",0,"M","cisplatin",2.4e-11,"M",87,0.03797,0.00079,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H11","BR1-O1a_H11","BR1","osimertinib",0,"M","cisplatin",6.1e-12,"M",90,0.04201,0.00141,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H13","BR1-O1a_H13","BR1","osimertinib",0,"M","ensartinib",4e-06,"M",77,-0.01388,0.00377,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H14","BR1-O1a_H14","BR1","osimertinib",0,"M","ensartinib",1e-06,"M",123,0.03407,0.00141,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H15","BR1-O1a_H15","BR1","osimertinib",0,"M","ensartinib",2.5e-07,"M",62,0.03818,0.00127,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H16","BR1-O1a_H16","BR1","osimertinib",0,"M","ensartinib",6.3e-08,"M",122,0.03885,0.00119,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H17","BR1-O1a_H17","BR1","osimertinib",0,"M","ensartinib",1.6e-08,"M",88,0.03704,0.00111,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H18","BR1-O1a_H18","BR1","osimertinib",0,"M","ensartinib",3.9e-09,"M",107,0.03942,0.00112,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H19","BR1-O1a_H19","BR1","osimertinib",0,"M","ensartinib",9.8e-10,"M",33,0.04434,0.00148,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H20","BR1-O1a_H20","BR1","osimertinib",0,"M","ensartinib",2.4e-10,"M",89,0.03755,0.00081,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"H21","BR1-O1a_H21","BR1","osimertinib",0,"M","ensartinib",6.1e-11,"M",81,0.03953,0.00095,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O03","BR1-O1a_O03","BR1","osimertinib",0,"M","everolimus",4e-06,"M",58,0.01671,0.00196,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O04","BR1-O1a_O04","BR1","osimertinib",0,"M","everolimus",1e-06,"M",117,0.0189,0.00121,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O05","BR1-O1a_O05","BR1","osimertinib",0,"M","everolimus",2.5e-07,"M",52,0.01809,0.00156,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O06","BR1-O1a_O06","BR1","osimertinib",0,"M","everolimus",6.3e-08,"M",110,0.02017,0.00087,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O07","BR1-O1a_O07","BR1","osimertinib",0,"M","everolimus",1.6e-08,"M",75,0.02125,0.00149,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O08","BR1-O1a_O08","BR1","osimertinib",0,"M","everolimus",3.9e-09,"M",110,0.02107,0.00144,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O09","BR1-O1a_O09","BR1","osimertinib",0,"M","everolimus",9.8e-10,"M",107,0.0212,0.00087,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O10","BR1-O1a_O10","BR1","osimertinib",0,"M","everolimus",2.4e-10,"M",87,0.02029,0.00178,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O11","BR1-O1a_O11","BR1","osimertinib",0,"M","everolimus",6.1e-11,"M",65,0.02224,0.00195,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1a",95676,"O13","BR1-O1a_O13","BR1","osimertinib",0,"M","ceritinib",4e-06,"M",85,0.02967,0.00098,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O14","BR1-O1a_O14","BR1","osimertinib",0,"M","ceritinib",1e-06,"M",88,0.03564,0.00159,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O15","BR1-O1a_O15","BR1","osimertinib",0,"M","ceritinib",2.5e-07,"M",59,0.03499,0.00133,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O16","BR1-O1a_O16","BR1","osimertinib",0,"M","ceritinib",6.3e-08,"M",79,0.034,0.00175,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O17","BR1-O1a_O17","BR1","osimertinib",0,"M","ceritinib",1.6e-08,"M",107,0.03964,0.00166,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O18","BR1-O1a_O18","BR1","osimertinib",0,"M","ceritinib",3.9e-09,"M",89,0.03888,0.00164,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O19","BR1-O1a_O19","BR1","osimertinib",0,"M","ceritinib",9.8e-10,"M",92,0.03908,0.00154,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O20","BR1-O1a_O20","BR1","osimertinib",0,"M","ceritinib",2.4e-10,"M",106,0.03811,0.00151,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1a",95676,"O21","BR1-O1a_O21","BR1","osimertinib",0,"M","ceritinib",6.1e-11,"M",71,0.03055,0.00141,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H03","BR1-O1b_H03","BR1","osimertinib",0,"M","cisplatin",4e-07,"M",78,0.02065,0.00119,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H04","BR1-O1b_H04","BR1","osimertinib",0,"M","cisplatin",1e-07,"M",71,0.03924,0.00106,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H05","BR1-O1b_H05","BR1","osimertinib",0,"M","cisplatin",2.5e-08,"M",74,0.03832,0.00204,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H06","BR1-O1b_H06","BR1","osimertinib",0,"M","cisplatin",6.2e-09,"M",64,0.03813,0.00046,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H07","BR1-O1b_H07","BR1","osimertinib",0,"M","cisplatin",1.6e-09,"M",68,0.03822,0.00212,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H08","BR1-O1b_H08","BR1","osimertinib",0,"M","cisplatin",3.9e-10,"M",80,0.03921,0.0028,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H09","BR1-O1b_H09","BR1","osimertinib",0,"M","cisplatin",9.8e-11,"M",91,0.03889,0.0022,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H10","BR1-O1b_H10","BR1","osimertinib",0,"M","cisplatin",2.4e-11,"M",103,0.03572,0.00227,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H11","BR1-O1b_H11","BR1","osimertinib",0,"M","cisplatin",6.1e-12,"M",93,0.0392,0.00177,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1b",95677,"H13","BR1-O1b_H13","BR1","osimertinib",0,"M","ensartinib",4e-06,"M",92,-0.00812,0.00524,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H14","BR1-O1b_H14","BR1","osimertinib",0,"M","ensartinib",1e-06,"M",89,0.03659,0.00178,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H15","BR1-O1b_H15","BR1","osimertinib",0,"M","ensartinib",2.5e-07,"M",107,0.03848,0.00202,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H16","BR1-O1b_H16","BR1","osimertinib",0,"M","ensartinib",6.3e-08,"M",59,0.04474,0.00199,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H17","BR1-O1b_H17","BR1","osimertinib",0,"M","ensartinib",1.6e-08,"M",100,0.03961,0.00142,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H18","BR1-O1b_H18","BR1","osimertinib",0,"M","ensartinib",3.9e-09,"M",80,0.03952,0.00165,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H19","BR1-O1b_H19","BR1","osimertinib",0,"M","ensartinib",9.8e-10,"M",79,0.03931,0.0011,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H20","BR1-O1b_H20","BR1","osimertinib",0,"M","ensartinib",2.4e-10,"M",91,0.03739,0.00124,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"H21","BR1-O1b_H21","BR1","osimertinib",0,"M","ensartinib",6.1e-11,"M",67,0.04096,0.00227,"BR1_osimertinib","BR1_osimertinib_ensartinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O03","BR1-O1b_O03","BR1","osimertinib",0,"M","everolimus",4e-06,"M",65,0.02178,0.00152,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O04","BR1-O1b_O04","BR1","osimertinib",0,"M","everolimus",1e-06,"M",66,0.02058,0.0012,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O05","BR1-O1b_O05","BR1","osimertinib",0,"M","everolimus",2.5e-07,"M",74,0.01918,0.00159,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O06","BR1-O1b_O06","BR1","osimertinib",0,"M","everolimus",6.3e-08,"M",82,0.02104,0.00274,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O07","BR1-O1b_O07","BR1","osimertinib",0,"M","everolimus",1.6e-08,"M",108,0.02009,0.00139,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O08","BR1-O1b_O08","BR1","osimertinib",0,"M","everolimus",3.9e-09,"M",65,0.01641,0.00148,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O09","BR1-O1b_O09","BR1","osimertinib",0,"M","everolimus",9.8e-10,"M",71,0.01915,0.00136,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O10","BR1-O1b_O10","BR1","osimertinib",0,"M","everolimus",2.4e-10,"M",102,0.01961,0.00138,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O11","BR1-O1b_O11","BR1","osimertinib",0,"M","everolimus",6.1e-11,"M",86,0.02169,0.00126,"BR1_osimertinib","BR1_osimertinib_everolimus"
"HTS018","2017-07-28","BR1-O1b",95677,"O13","BR1-O1b_O13","BR1","osimertinib",0,"M","ceritinib",4e-06,"M",55,0.02994,0.00169,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O14","BR1-O1b_O14","BR1","osimertinib",0,"M","ceritinib",1e-06,"M",86,0.03912,0.00162,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O15","BR1-O1b_O15","BR1","osimertinib",0,"M","ceritinib",2.5e-07,"M",93,0.03767,0.0012,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O16","BR1-O1b_O16","BR1","osimertinib",0,"M","ceritinib",6.3e-08,"M",89,0.03694,0.0014,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O17","BR1-O1b_O17","BR1","osimertinib",0,"M","ceritinib",1.6e-08,"M",95,0.03894,0.00127,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O18","BR1-O1b_O18","BR1","osimertinib",0,"M","ceritinib",3.9e-09,"M",120,0.03766,0.00193,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O19","BR1-O1b_O19","BR1","osimertinib",0,"M","ceritinib",9.8e-10,"M",80,0.03715,0.00091,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O20","BR1-O1b_O20","BR1","osimertinib",0,"M","ceritinib",2.4e-10,"M",71,0.03881,0.00212,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O1b",95677,"O21","BR1-O1b_O21","BR1","osimertinib",0,"M","ceritinib",6.1e-11,"M",140,0.03701,0.00158,"BR1_osimertinib","BR1_osimertinib_ceritinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H03","BR1-O2a_H03","BR1","osimertinib",0,"M","methotrexate",4e-06,"M",47,0.02281,0.00407,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H04","BR1-O2a_H04","BR1","osimertinib",0,"M","methotrexate",1e-06,"M",85,-0.00483,0.00288,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H05","BR1-O2a_H05","BR1","osimertinib",0,"M","methotrexate",2.5e-07,"M",79,0.02217,0.00507,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H06","BR1-O2a_H06","BR1","osimertinib",0,"M","methotrexate",6.3e-08,"M",53,0.03729,0.00224,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H07","BR1-O2a_H07","BR1","osimertinib",0,"M","methotrexate",1.6e-08,"M",107,0.0366,0.00201,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H08","BR1-O2a_H08","BR1","osimertinib",0,"M","methotrexate",3.9e-09,"M",119,0.03706,0.0016,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H09","BR1-O2a_H09","BR1","osimertinib",0,"M","methotrexate",9.8e-10,"M",89,0.03636,0.00176,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H10","BR1-O2a_H10","BR1","osimertinib",0,"M","methotrexate",2.4e-10,"M",88,0.03739,0.00176,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H11","BR1-O2a_H11","BR1","osimertinib",0,"M","methotrexate",6.1e-11,"M",100,0.03888,0.00171,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2a",95678,"H13","BR1-O2a_H13","BR1","osimertinib",0,"M","dasatinib",4e-06,"M",78,0.01582,0.00343,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H14","BR1-O2a_H14","BR1","osimertinib",0,"M","dasatinib",1e-06,"M",120,-0.04008,0.02716,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H15","BR1-O2a_H15","BR1","osimertinib",0,"M","dasatinib",2.5e-07,"M",79,-0.03517,0.02292,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H16","BR1-O2a_H16","BR1","osimertinib",0,"M","dasatinib",6.3e-08,"M",89,0.01599,0.00414,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H17","BR1-O2a_H17","BR1","osimertinib",0,"M","dasatinib",1.6e-08,"M",108,0.02602,0.00217,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H18","BR1-O2a_H18","BR1","osimertinib",0,"M","dasatinib",3.9e-09,"M",101,0.03194,0.00113,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H19","BR1-O2a_H19","BR1","osimertinib",0,"M","dasatinib",9.8e-10,"M",83,0.03375,0.00125,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H20","BR1-O2a_H20","BR1","osimertinib",0,"M","dasatinib",2.4e-10,"M",106,0.03632,0.00095,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"H21","BR1-O2a_H21","BR1","osimertinib",0,"M","dasatinib",6.1e-11,"M",55,0.03761,0.00079,"BR1_osimertinib","BR1_osimertinib_dasatinib"
"HTS018","2017-07-28","BR1-O2a",95678,"O03","BR1-O2a_O03","BR1","osimertinib",0,"M","paclitaxel",4e-07,"M",78,-0.01906,0.00978,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O04","BR1-O2a_O04","BR1","osimertinib",0,"M","paclitaxel",1e-07,"M",70,-0.01095,0.00396,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O05","BR1-O2a_O05","BR1","osimertinib",0,"M","paclitaxel",2.5e-08,"M",59,-0.00658,0.00387,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O06","BR1-O2a_O06","BR1","osimertinib",0,"M","paclitaxel",6.2e-09,"M",87,-0.00455,0.00147,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O07","BR1-O2a_O07","BR1","osimertinib",0,"M","paclitaxel",1.6e-09,"M",88,0.00919,0.00216,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O08","BR1-O2a_O08","BR1","osimertinib",0,"M","paclitaxel",3.9e-10,"M",91,0.01628,0.00148,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O09","BR1-O2a_O09","BR1","osimertinib",0,"M","paclitaxel",9.8e-11,"M",65,0.02179,0.0016,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O10","BR1-O2a_O10","BR1","osimertinib",0,"M","paclitaxel",2.4e-11,"M",57,0.02217,0.0021,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O11","BR1-O2a_O11","BR1","osimertinib",0,"M","paclitaxel",6.1e-12,"M",85,0.02258,0.00094,"BR1_osimertinib","BR1_osimertinib_paclitaxel"
"HTS018","2017-07-28","BR1-O2a",95678,"O13","BR1-O2a_O13","BR1","osimertinib",0,"M","olaparib",2e-05,"M",63,0.00985,0.00162,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O14","BR1-O2a_O14","BR1","osimertinib",0,"M","olaparib",5e-06,"M",93,0.02787,0.00095,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O15","BR1-O2a_O15","BR1","osimertinib",0,"M","olaparib",1.2e-06,"M",101,0.03485,0.00201,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O16","BR1-O2a_O16","BR1","osimertinib",0,"M","olaparib",3.1e-07,"M",74,0.03541,0.00101,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O17","BR1-O2a_O17","BR1","osimertinib",0,"M","olaparib",7.8e-08,"M",80,0.03767,0.00164,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O18","BR1-O2a_O18","BR1","osimertinib",0,"M","olaparib",2e-08,"M",87,0.03514,0.00148,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O19","BR1-O2a_O19","BR1","osimertinib",0,"M","olaparib",4.9e-09,"M",79,0.03821,0.00119,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O20","BR1-O2a_O20","BR1","osimertinib",0,"M","olaparib",1.2e-09,"M",75,0.03769,0.00157,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2a",95678,"O21","BR1-O2a_O21","BR1","osimertinib",0,"M","olaparib",3.1e-10,"M",65,0.04134,0.00081,"BR1_osimertinib","BR1_osimertinib_olaparib"
"HTS018","2017-07-28","BR1-O2b",95679,"H03","BR1-O2b_H03","BR1","osimertinib",0,"M","methotrexate",4e-06,"M",63,0.02024,0.00577,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H04","BR1-O2b_H04","BR1","osimertinib",0,"M","methotrexate",1e-06,"M",67,0.01972,0.00546,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H05","BR1-O2b_H05","BR1","osimertinib",0,"M","methotrexate",2.5e-07,"M",78,-0.00331,0.00231,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H06","BR1-O2b_H06","BR1","osimertinib",0,"M","methotrexate",6.3e-08,"M",80,0.03393,0.00199,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H07","BR1-O2b_H07","BR1","osimertinib",0,"M","methotrexate",1.6e-08,"M",98,0.03625,0.00095,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H08","BR1-O2b_H08","BR1","osimertinib",0,"M","methotrexate",3.9e-09,"M",51,0.04249,0.00164,"BR1_osimertinib","BR1_osimertinib_methotrexate"
"HTS018","2017-07-28","BR1-O2b",95679,"H09","BR1-O2b_H09","BR1","osimertinib",0,"M","methotrexate",9.8e-10,"M",100,0.03869,0.00143,"BR1_osimertinib","BR1_osimertinib_methotrexate"
