,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,per_via,per_via_std
756,HTS015,2017-06-02,PC9c1-D1a,93964,C22,PC9c1-D1a_C22,PC9c1,4.1,TyrphostinAG370,0.0,M,osimertinib,0.0,M,94,0,2017-06-02 15:07:51,94,1.06855928302,0.0997931725441
774,HTS015,2017-06-02,PC9c1-D1a,93964,C23,PC9c1-D1a_C23,PC9c1,4.1,control,0.0,M,control,0.0,M,75,1,2017-06-02 15:07:51,76,1.02837709622,0.0960405422842
792,HTS015,2017-06-02,PC9c1-D1a,93964,D02,PC9c1-D1a_D02,PC9c1,4.1,LY294002,1e-05,M,osimertinib,2e-09,M,101,1,2017-06-02 15:07:51,102,0.206675517908,0.0193015080651
810,HTS015,2017-06-02,PC9c1-D1a,93964,D03,PC9c1-D1a_D03,PC9c1,4.1,LY294002,3.1e-06,M,osimertinib,2e-09,M,80,0,2017-06-02 15:07:51,80,0.477056038351,0.0445524514222
828,HTS015,2017-06-02,PC9c1-D1a,93964,D04,PC9c1-D1a_D04,PC9c1,4.1,LY294002,1.11e-06,M,osimertinib,2e-09,M,83,1,2017-06-02 15:07:51,84,0.425468156469,0.0397346388033
846,HTS015,2017-06-02,PC9c1-D1a,93964,D05,PC9c1-D1a_D05,PC9c1,4.1,LY294002,3.7e-07,M,osimertinib,2e-09,M,69,0,2017-06-02 15:07:51,69,0.423358106467,0.039537580402
864,HTS015,2017-06-02,PC9c1-D1a,93964,D06,PC9c1-D1a_D06,PC9c1,4.1,LY294002,1.23e-07,M,osimertinib,2e-09,M,90,2,2017-06-02 15:07:51,92,0.396451047847,0.0370247195938
882,HTS015,2017-06-02,PC9c1-D1a,93964,D07,PC9c1-D1a_D07,PC9c1,4.1,LY294002,4.11e-08,M,osimertinib,2e-09,M,80,0,2017-06-02 15:07:51,80,0.473380176186,0.044209161206
900,HTS015,2017-06-02,PC9c1-D1a,93964,D08,PC9c1-D1a_D08,PC9c1,4.1,LY294002,0.0,M,osimertinib,2e-09,M,71,1,2017-06-02 15:07:51,72,0.444896136759,0.0415490255388
918,HTS015,2017-06-02,PC9c1-D1a,93964,D09,PC9c1-D1a_D09,PC9c1,4.1,Quercetin,1e-05,M,osimertinib,2e-09,M,83,0,2017-06-02 15:07:51,83,0.486150936432,0.0454018275381
936,HTS015,2017-06-02,PC9c1-D1a,93964,D10,PC9c1-D1a_D10,PC9c1,4.1,Quercetin,3.1e-06,M,osimertinib,2e-09,M,76,0,2017-06-02 15:07:51,76,0.44452497274,0.0415143623848
954,HTS015,2017-06-02,PC9c1-D1a,93964,D11,PC9c1-D1a_D11,PC9c1,4.1,Quercetin,1.11e-06,M,osimertinib,2e-09,M,72,0,2017-06-02 15:07:51,72,0.507459398004,0.0473918331617
972,HTS015,2017-06-02,PC9c1-D1a,93964,D12,PC9c1-D1a_D12,PC9c1,4.1,Quercetin,3.7e-07,M,osimertinib,2e-09,M,82,1,2017-06-02 15:07:51,83,0.414294639761,0.0386911396746
990,HTS015,2017-06-02,PC9c1-D1a,93964,D13,PC9c1-D1a_D13,PC9c1,4.1,Quercetin,1.23e-07,M,osimertinib,2e-09,M,64,0,2017-06-02 15:07:51,64,0.447848363651,0.0418247351716
1008,HTS015,2017-06-02,PC9c1-D1a,93964,D14,PC9c1-D1a_D14,PC9c1,4.1,Quercetin,4.11e-08,M,osimertinib,2e-09,M,73,2,2017-06-02 15:07:51,75,0.472379752434,0.0441157312376
1026,HTS015,2017-06-02,PC9c1-D1a,93964,D15,PC9c1-D1a_D15,PC9c1,4.1,Quercetin,0.0,M,osimertinib,2e-09,M,80,3,2017-06-02 15:07:51,83,0.480314567819,0.0448567667733
1044,HTS015,2017-06-02,PC9c1-D1a,93964,D16,PC9c1-D1a_D16,PC9c1,4.1,TyrphostinAG370,1e-05,M,osimertinib,2e-09,M,63,0,2017-06-02 15:07:51,63,0.494120362202,0.0461460953514
1062,HTS015,2017-06-02,PC9c1-D1a,93964,D17,PC9c1-D1a_D17,PC9c1,4.1,TyrphostinAG370,3.1e-06,M,osimertinib,2e-09,M,64,0,2017-06-02 15:07:51,64,0.410631736583,0.0383490597033
1080,HTS015,2017-06-02,PC9c1-D1a,93964,D18,PC9c1-D1a_D18,PC9c1,4.1,TyrphostinAG370,1.11e-06,M,osimertinib,2e-09,M,58,2,2017-06-02 15:07:51,60,0.450595574381,0.0420812982644
1098,HTS015,2017-06-02,PC9c1-D1a,93964,D19,PC9c1-D1a_D19,PC9c1,4.1,TyrphostinAG370,3.7e-07,M,osimertinib,2e-09,M,82,0,2017-06-02 15:07:51,82,0.535319782582,0.0499937254568
1116,HTS015,2017-06-02,PC9c1-D1a,93964,D20,PC9c1-D1a_D20,PC9c1,4.1,TyrphostinAG370,1.23e-07,M,osimertinib,2e-09,M,65,0,2017-06-02 15:07:51,65,0.488892197692,0.0456578350075
1134,HTS015,2017-06-02,PC9c1-D1a,93964,D21,PC9c1-D1a_D21,PC9c1,4.1,TyrphostinAG370,4.11e-08,M,osimertinib,2e-09,M,86,0,2017-06-02 15:07:51,86,0.508998488033,0.0475355693861
1152,HTS015,2017-06-02,PC9c1-D1a,93964,D22,PC9c1-D1a_D22,PC9c1,4.1,TyrphostinAG370,0.0,M,osimertinib,2e-09,M,59,0,2017-06-02 15:07:51,59,0.49136715904,0.0458889726231
1170,HTS015,2017-06-02,PC9c1-D1a,93964,D23,PC9c1-D1a_D23,PC9c1,4.1,control,0.0,M,control,0.0,M,85,0,2017-06-02 15:07:51,85,0.995985819367,0.0930155081737
1188,HTS015,2017-06-02,PC9c1-D1a,93964,E02,PC9c1-D1a_E02,PC9c1,4.1,LY294002,1e-05,M,osimertinib,2e-08,M,127,1,2017-06-02 15:07:51,128,0.193237969417,0.018046570116
1206,HTS015,2017-06-02,PC9c1-D1a,93964,E03,PC9c1-D1a_E03,PC9c1,4.1,LY294002,3.1e-06,M,osimertinib,2e-08,M,114,1,2017-06-02 15:07:51,115,0.35397656621,0.0330580110152
1224,HTS015,2017-06-02,PC9c1-D1a,93964,E04,PC9c1-D1a_E04,PC9c1,4.1,LY294002,1.11e-06,M,osimertinib,2e-08,M,142,4,2017-06-02 15:07:51,146,0.261580432845,0.0244290997083
1242,HTS015,2017-06-02,PC9c1-D1a,93964,E05,PC9c1-D1a_E05,PC9c1,4.1,LY294002,3.7e-07,M,osimertinib,2e-08,M,101,3,2017-06-02 15:07:51,104,0.385905383567,0.0360398558508
1260,HTS015,2017-06-02,PC9c1-D1a,93964,E06,PC9c1-D1a_E06,PC9c1,4.1,LY294002,1.23e-07,M,osimertinib,2e-08,M,97,1,2017-06-02 15:07:51,98,0.339280067593,0.0316854992177
1278,HTS015,2017-06-02,PC9c1-D1a,93964,E07,PC9c1-D1a_E07,PC9c1,4.1,LY294002,4.11e-08,M,osimertinib,2e-08,M,127,2,2017-06-02 15:07:51,129,0.33459865602,0.031248300346
1296,HTS015,2017-06-02,PC9c1-D1a,93964,E08,PC9c1-D1a_E08,PC9c1,4.1,LY294002,0.0,M,osimertinib,2e-08,M,128,0,2017-06-02 15:07:51,128,0.330602668176,0.0308751134665
1314,HTS015,2017-06-02,PC9c1-D1a,93964,E09,PC9c1-D1a_E09,PC9c1,4.1,Quercetin,1e-05,M,osimertinib,2e-08,M,134,1,2017-06-02 15:07:51,135,0.343358323354,0.0320663691304
1332,HTS015,2017-06-02,PC9c1-D1a,93964,E10,PC9c1-D1a_E10,PC9c1,4.1,Quercetin,3.1e-06,M,osimertinib,2e-08,M,108,0,2017-06-02 15:07:51,108,0.332484729736,0.0310508799373
1350,HTS015,2017-06-02,PC9c1-D1a,93964,E11,PC9c1-D1a_E11,PC9c1,4.1,Quercetin,1.11e-06,M,osimertinib,2e-08,M,127,0,2017-06-02 15:07:51,127,0.3264936526,0.0304913708825
1368,HTS015,2017-06-02,PC9c1-D1a,93964,E12,PC9c1-D1a_E12,PC9c1,4.1,Quercetin,3.7e-07,M,osimertinib,2e-08,M,111,1,2017-06-02 15:07:51,112,0.338374638885,0.0316009408739
1386,HTS015,2017-06-02,PC9c1-D1a,93964,E13,PC9c1-D1a_E13,PC9c1,4.1,Quercetin,1.23e-07,M,osimertinib,2e-08,M,127,0,2017-06-02 15:07:51,127,0.33271163318,0.0310720705393
1404,HTS015,2017-06-02,PC9c1-D1a,93964,E14,PC9c1-D1a_E14,PC9c1,4.1,Quercetin,4.11e-08,M,osimertinib,2e-08,M,119,0,2017-06-02 15:07:51,119,0.349309295653,0.0326221327785
1422,HTS015,2017-06-02,PC9c1-D1a,93964,E15,PC9c1-D1a_E15,PC9c1,4.1,Quercetin,0.0,M,osimertinib,2e-08,M,129,3,2017-06-02 15:07:51,132,0.350924600623,0.0327729867462
1440,HTS015,2017-06-02,PC9c1-D1a,93964,E16,PC9c1-D1a_E16,PC9c1,4.1,TyrphostinAG370,1e-05,M,osimertinib,2e-08,M,141,4,2017-06-02 15:07:51,145,0.370288114473,0.0345813529356
1458,HTS015,2017-06-02,PC9c1-D1a,93964,E17,PC9c1-D1a_E17,PC9c1,4.1,TyrphostinAG370,3.1e-06,M,osimertinib,2e-08,M,105,0,2017-06-02 15:07:51,105,0.385002991991,0.0359555811459
1476,HTS015,2017-06-02,PC9c1-D1a,93964,E18,PC9c1-D1a_E18,PC9c1,4.1,TyrphostinAG370,1.11e-06,M,osimertinib,2e-08,M,177,3,2017-06-02 15:07:51,180,0.299888191747,0.0280066764087
1494,HTS015,2017-06-02,PC9c1-D1a,93964,E19,PC9c1-D1a_E19,PC9c1,4.1,TyrphostinAG370,3.7e-07,M,osimertinib,2e-08,M,128,1,2017-06-02 15:07:51,129,0.326795577615,0.0305195677787
1512,HTS015,2017-06-02,PC9c1-D1a,93964,E20,PC9c1-D1a_E20,PC9c1,4.1,TyrphostinAG370,1.23e-07,M,osimertinib,2e-08,M,123,0,2017-06-02 15:07:51,123,0.343566998295,0.0320858573653
1530,HTS015,2017-06-02,PC9c1-D1a,93964,E21,PC9c1-D1a_E21,PC9c1,4.1,TyrphostinAG370,4.11e-08,M,osimertinib,2e-08,M,102,1,2017-06-02 15:07:51,103,0.350063174778,0.0326925378472
1548,HTS015,2017-06-02,PC9c1-D1a,93964,E22,PC9c1-D1a_E22,PC9c1,4.1,TyrphostinAG370,0.0,M,osimertinib,2e-08,M,125,1,2017-06-02 15:07:51,126,0.332084201299,0.0310134744287
1566,HTS015,2017-06-02,PC9c1-D1a,93964,E23,PC9c1-D1a_E23,PC9c1,4.1,control,0.0,M,control,0.0,M,98,1,2017-06-02 15:07:51,99,1.0286718505,0.0960680695023
1584,HTS015,2017-06-02,PC9c1-D1a,93964,F02,PC9c1-D1a_F02,PC9c1,4.1,LY294002,1e-05,M,osimertinib,2e-07,M,61,0,2017-06-02 15:07:51,61,0.349374619558,0.0326282334038
1602,HTS015,2017-06-02,PC9c1-D1a,93964,F03,PC9c1-D1a_F03,PC9c1,4.1,LY294002,3.1e-06,M,osimertinib,2e-07,M,87,1,2017-06-02 15:07:51,88,0.363458409884,0.0339435241325
1620,HTS015,2017-06-02,PC9c1-D1a,93964,F04,PC9c1-D1a_F04,PC9c1,4.1,LY294002,1.11e-06,M,osimertinib,2e-07,M,115,0,2017-06-02 15:07:51,115,0.339889369353,0.0317424021491
1638,HTS015,2017-06-02,PC9c1-D1a,93964,F05,PC9c1-D1a_F05,PC9c1,4.1,LY294002,3.7e-07,M,osimertinib,2e-07,M,106,0,2017-06-02 15:07:51,106,0.31121133631,0.0290641493417
1656,HTS015,2017-06-02,PC9c1-D1a,93964,F06,PC9c1-D1a_F06,PC9c1,4.1,LY294002,1.23e-07,M,osimertinib,2e-07,M,138,0,2017-06-02 15:07:51,138,0.31139628631,0.0290814218951
1674,HTS015,2017-06-02,PC9c1-D1a,93964,F07,PC9c1-D1a_F07,PC9c1,4.1,LY294002,4.11e-08,M,osimertinib,2e-07,M,98,0,2017-06-02 15:07:51,98,0.331280951455,0.0309384586092
1692,HTS015,2017-06-02,PC9c1-D1a,93964,F08,PC9c1-D1a_F08,PC9c1,4.1,LY294002,0.0,M,osimertinib,2e-07,M,140,0,2017-06-02 15:07:51,140,0.29738539772,0.0277729394882
1710,HTS015,2017-06-02,PC9c1-D1a,93964,F09,PC9c1-D1a_F09,PC9c1,4.1,Quercetin,1e-05,M,osimertinib,2e-07,M,130,1,2017-06-02 15:07:51,131,0.302347948872,0.0282363940959
1728,HTS015,2017-06-02,PC9c1-D1a,93964,F10,PC9c1-D1a_F10,PC9c1,4.1,Quercetin,3.1e-06,M,osimertinib,2e-07,M,100,1,2017-06-02 15:07:51,101,0.336511883709,0.0314269774339
1746,HTS015,2017-06-02,PC9c1-D1a,93964,F11,PC9c1-D1a_F11,PC9c1,4.1,Quercetin,1.11e-06,M,osimertinib,2e-07,M,107,1,2017-06-02 15:07:51,108,0.355065732672,0.0331597287003
1764,HTS015,2017-06-02,PC9c1-D1a,93964,F12,PC9c1-D1a_F12,PC9c1,4.1,Quercetin,3.7e-07,M,osimertinib,2e-07,M,102,1,2017-06-02 15:07:51,103,0.33894748,0.0316544387313
1782,HTS015,2017-06-02,PC9c1-D1a,93964,F13,PC9c1-D1a_F13,PC9c1,4.1,Quercetin,1.23e-07,M,osimertinib,2e-07,M,116,1,2017-06-02 15:07:51,117,0.364349601283,0.0340267528486
1800,HTS015,2017-06-02,PC9c1-D1a,93964,F14,PC9c1-D1a_F14,PC9c1,4.1,Quercetin,4.11e-08,M,osimertinib,2e-07,M,116,0,2017-06-02 15:07:51,116,0.336678104836,0.0314425008904
1818,HTS015,2017-06-02,PC9c1-D1a,93964,F15,PC9c1-D1a_F15,PC9c1,4.1,Quercetin,0.0,M,osimertinib,2e-07,M,109,1,2017-06-02 15:07:51,110,0.356695502476,0.0333119335446
1836,HTS015,2017-06-02,PC9c1-D1a,93964,F16,PC9c1-D1a_F16,PC9c1,4.1,TyrphostinAG370,1e-05,M,osimertinib,2e-07,M,126,0,2017-06-02 15:07:51,126,0.314043273243,0.0293286250478
1854,HTS015,2017-06-02,PC9c1-D1a,93964,F17,PC9c1-D1a_F17,PC9c1,4.1,TyrphostinAG370,3.1e-06,M,osimertinib,2e-07,M,129,1,2017-06-02 15:07:51,130,0.334797079399,0.0312668311835
1872,HTS015,2017-06-02,PC9c1-D1a,93964,F18,PC9c1-D1a_F18,PC9c1,4.1,TyrphostinAG370,1.11e-06,M,osimertinib,2e-07,M,87,2,2017-06-02 15:07:51,89,0.35960360291,0.0335835221901
1890,HTS015,2017-06-02,PC9c1-D1a,93964,F19,PC9c1-D1a_F19,PC9c1,4.1,TyrphostinAG370,3.7e-07,M,osimertinib,2e-07,M,128,0,2017-06-02 15:07:51,128,0.346950873189,0.0324018787753
1908,HTS015,2017-06-02,PC9c1-D1a,93964,F20,PC9c1-D1a_F20,PC9c1,4.1,TyrphostinAG370,1.23e-07,M,osimertinib,2e-07,M,111,0,2017-06-02 15:07:51,111,0.311611887163,0.0291015569437
1926,HTS015,2017-06-02,PC9c1-D1a,93964,F21,PC9c1-D1a_F21,PC9c1,4.1,TyrphostinAG370,4.11e-08,M,osimertinib,2e-07,M,137,10,2017-06-02 15:07:51,147,0.289416566651,0.0270287272143
1944,HTS015,2017-06-02,PC9c1-D1a,93964,F22,PC9c1-D1a_F22,PC9c1,4.1,TyrphostinAG370,0.0,M,osimertinib,2e-07,M,86,2,2017-06-02 15:07:51,88,0.359122464975,0.0335385885288
1962,HTS015,2017-06-02,PC9c1-D1a,93964,F23,PC9c1-D1a_F23,PC9c1,4.1,control,0.0,M,control,0.0,M,119,0,2017-06-02 15:07:51,119,1.0574629318,0.0987568799314
1980,HTS015,2017-06-02,PC9c1-D1a,93964,G02,PC9c1-D1a_G02,PC9c1,4.1,ML9,1e-05,M,osimertinib,0.0,M,106,0,2017-06-02 15:07:51,106,1.03456687555,0.0966186082153
1998,HTS015,2017-06-02,PC9c1-D1a,93964,G03,PC9c1-D1a_G03,PC9c1,4.1,ML9,3.1e-06,M,osimertinib,0.0,M,149,1,2017-06-02 15:07:51,150,0.83681592457,0.0781505689722
2016,HTS015,2017-06-02,PC9c1-D1a,93964,G04,PC9c1-D1a_G04,PC9c1,4.1,ML9,1.11e-06,M,osimertinib,0.0,M,110,1,2017-06-02 15:07:51,111,1.1451815485,0.106948956113
2034,HTS015,2017-06-02,PC9c1-D1a,93964,G05,PC9c1-D1a_G05,PC9c1,4.1,ML9,3.7e-07,M,osimertinib,0.0,M,132,0,2017-06-02 15:07:51,132,0.97430209603,0.090990456706
2052,HTS015,2017-06-02,PC9c1-D1a,93964,G06,PC9c1-D1a_G06,PC9c1,4.1,ML9,1.23e-07,M,osimertinib,0.0,M,141,1,2017-06-02 15:07:51,142,1.02132398812,0.0953818497393
2070,HTS015,2017-06-02,PC9c1-D1a,93964,G07,PC9c1-D1a_G07,PC9c1,4.1,ML9,4.11e-08,M,osimertinib,0.0,M,135,1,2017-06-02 15:07:51,136,0.977955104697,0.091331612625
2088,HTS015,2017-06-02,PC9c1-D1a,93964,G08,PC9c1-D1a_G08,PC9c1,4.1,ML9,0.0,M,osimertinib,0.0,M,129,0,2017-06-02 15:07:51,129,1.06039909042,0.0990310889414
2106,HTS015,2017-06-02,PC9c1-D1a,93964,G09,PC9c1-D1a_G09,PC9c1,4.1,SP600125,1e-05,M,osimertinib,0.0,M,115,0,2017-06-02 15:07:51,115,1.05944438708,0.0989419288205
2124,HTS015,2017-06-02,PC9c1-D1a,93964,G10,PC9c1-D1a_G10,PC9c1,4.1,SP600125,3.1e-06,M,osimertinib,0.0,M,106,0,2017-06-02 15:07:51,106,1.12668463655,0.105221522217
2142,HTS015,2017-06-02,PC9c1-D1a,93964,G11,PC9c1-D1a_G11,PC9c1,4.1,SP600125,1.11e-06,M,osimertinib,0.0,M,143,0,2017-06-02 15:07:51,143,1.04059085341,0.0971811898807
2160,HTS015,2017-06-02,PC9c1-D1a,93964,G12,PC9c1-D1a_G12,PC9c1,4.1,SP600125,3.7e-07,M,osimertinib,0.0,M,108,1,2017-06-02 15:07:51,109,1.12341308381,0.104915990617
2178,HTS015,2017-06-02,PC9c1-D1a,93964,G13,PC9c1-D1a_G13,PC9c1,4.1,SP600125,1.23e-07,M,osimertinib,0.0,M,117,2,2017-06-02 15:07:51,119,0.967145344186,0.090322084831
